x_tokens	biome_class	biome_class label	x_class	x_class label	biome_pred	x_pred	rels	biome_category	x_category
	ENVO:01000029	marine reef biome	ENVO:01000143	marine reef	label	label		ecosystem	astronomical body part
littoral|zone	ENVO:00000873	freshwater biome	ENVO:01000409	freshwater littoral zone	label	label		ecosystem	environmental zone
lake	ENVO:00000873	freshwater biome	ENVO:00000021	freshwater lake	label	label		ecosystem	astronomical body part
marsh	ENVO:00000873	freshwater biome	ENVO:00000053	freshwater marsh	label	label		ecosystem	ecosystem
river	ENVO:00000873	freshwater biome	ENVO:01000297	freshwater river	label	label		ecosystem	astronomical body part
spring	ENVO:00000873	freshwater biome	ENVO:01000598	freshwater spring	label	label		ecosystem	astronomical body part
wetland|ecosystem	ENVO:00000873	freshwater biome	ENVO:00000243	freshwater wetland ecosystem	label	label		ecosystem	ecosystem
algal|bloom	ENVO:00000873	freshwater biome	ENVO:2000005	freshwater algal bloom	label	label	reverse(http://purl.obolibrary.org/obo/RO_0001025)	ecosystem	astronomical body part
macrophyte|farming|process	ENVO:00000873	freshwater biome	ENVO:01001253	freshwater macrophyte farming process	label	label		ecosystem	
environment	ENVO:00000873	freshwater biome	ENVO:01000306	freshwater environment	label	label		ecosystem	
seep|riverine|anchor|ice	ENVO:00000873	freshwater biome	ENVO:01001344	freshwater seep riverine anchor ice	label	label		ecosystem	astronomical body part
congelation|ice	ENVO:00000873	freshwater biome	ENVO:01001515	freshwater congelation ice	label	label		ecosystem	environmental material
environment	ENVO:00000873	freshwater biome	ENVO:01000306	freshwater environment	label	label		ecosystem	
river	ENVO:00000873	freshwater biome	ENVO:01000297	freshwater river	label	label		ecosystem	astronomical body part
algal|bloom	ENVO:00000873	freshwater biome	ENVO:2000005	freshwater algal bloom	label	label	reverse(http://purl.obolibrary.org/obo/RO_0001025)	ecosystem	astronomical body part
ice	ENVO:00000873	freshwater biome	ENVO:01001511	freshwater ice	label	label		ecosystem	environmental material
congelation|ice	ENVO:00000873	freshwater biome	ENVO:01001515	freshwater congelation ice	label	label		ecosystem	environmental material
algal|bloom	ENVO:00000873	freshwater biome	ENVO:2000005	freshwater algal bloom	label	label	reverse(http://purl.obolibrary.org/obo/RO_0001025)	ecosystem	astronomical body part
lake|biome	ENVO:00000873	freshwater biome	ENVO:01000252	freshwater lake biome	label	label	reverse(http://www.w3.org/2000/01/rdf-schema#subClassOf)	ecosystem	ecosystem
river|biome	ENVO:00000873	freshwater biome	ENVO:01000253	freshwater river biome	label	label	reverse(http://www.w3.org/2000/01/rdf-schema#subClassOf)	ecosystem	ecosystem
river	ENVO:00000873	freshwater biome	ENVO:01000297	freshwater river	label	label		ecosystem	astronomical body part
ice	ENVO:00000873	freshwater biome	ENVO:01001511	freshwater ice	label	label		ecosystem	environmental material
congelation|ice	ENVO:00000873	freshwater biome	ENVO:01001515	freshwater congelation ice	label	label		ecosystem	environmental material
lake	ENVO:00000873	freshwater biome	ENVO:00000021	freshwater lake	label	label		ecosystem	astronomical body part
environment	ENVO:00000873	freshwater biome	ENVO:01000306	freshwater environment	label	label		ecosystem	
seep|riverine|anchor|ice	ENVO:00000873	freshwater biome	ENVO:01001344	freshwater seep riverine anchor ice	label	label		ecosystem	astronomical body part
macrophyte|farming|process	ENVO:00000873	freshwater biome	ENVO:01001253	freshwater macrophyte farming process	label	label		ecosystem	
seep|riverine|anchor|ice	ENVO:00000873	freshwater biome	ENVO:01001344	freshwater seep riverine anchor ice	label	label		ecosystem	astronomical body part
lake|biome	ENVO:00000873	freshwater biome	ENVO:01000252	freshwater lake biome	label	label	reverse(http://www.w3.org/2000/01/rdf-schema#subClassOf)	ecosystem	ecosystem
river|biome	ENVO:00000873	freshwater biome	ENVO:01000253	freshwater river biome	label	label	reverse(http://www.w3.org/2000/01/rdf-schema#subClassOf)	ecosystem	ecosystem
river	ENVO:00000873	freshwater biome	ENVO:01000297	freshwater river	label	label		ecosystem	astronomical body part
algal|bloom	ENVO:00000873	freshwater biome	ENVO:2000005	freshwater algal bloom	label	label	reverse(http://purl.obolibrary.org/obo/RO_0001025)	ecosystem	astronomical body part
lake|biome	ENVO:00000873	freshwater biome	ENVO:01000252	freshwater lake biome	label	label	reverse(http://www.w3.org/2000/01/rdf-schema#subClassOf)	ecosystem	ecosystem
river|biome	ENVO:00000873	freshwater biome	ENVO:01000253	freshwater river biome	label	label	reverse(http://www.w3.org/2000/01/rdf-schema#subClassOf)	ecosystem	ecosystem
river	ENVO:00000873	freshwater biome	ENVO:01000297	freshwater river	label	label		ecosystem	astronomical body part
algal|bloom	ENVO:00000873	freshwater biome	ENVO:2000005	freshwater algal bloom	label	label	reverse(http://purl.obolibrary.org/obo/RO_0001025)	ecosystem	astronomical body part
environment	ENVO:00000873	freshwater biome	ENVO:01000306	freshwater environment	label	label		ecosystem	
