#comment: "This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#version: 0.1
#versions
#  - ENVO: v2021-05-14
#  - SWEET: v3.5.0
#creator_id:
#  - orcid:0000-0003-4808-4736
#  - orcid:0000-0002-4366-3088
#  - orcid:0000-0002-8454-8481
#  - orcid:0000-0002-3410-4655
#  - orcid:0000-0001-7543-6173
#creator_label:
#  - Ruth Duerr
#  - Pier Luigi Buttigieg
#  - Kate Rose
#  - Kai Blumberg
#  - Nancy Wiegand
#curie_map:
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  soreas: "http://sweetontology.net/realmSoil/"
#  sophatmow: "http://sweetontology.net/phenAtmoWind/"
#  soreac: "http://sweetontology.net/realmCryo/"
#  sophhy: "http://sweetontology.net/phenHydro/"
#  sorealg: "http://sweetontology.net/realmLandGlacial/"
#  sophgg: "http://sweetontology.net/phenGeolGeomorphology/"
#  sophatmopc: "http://sweetontology.net/phenAtmoPrecipitation/"
#  somaw: "http://sweetontology.net/matrWater/"
#  sophcr: "http://sweetontology.net/phenCryo/"
#  sophatmofr: "http://sweetontology.net/phenAtmoFront/"
#  soprocsc: "http://sweetontology.net/procStateChange/"
#  sophso: "http://sweetontology.net/phenSolid/"
#  sorea: "http://sweetontology.net/realm/"
#  soreahb: "http://sweetontology.net/realmHydroBody/"
#  sophatmofo: "http://sweetontology.net/phenAtmoFog/"
#  sophgf: "http://sweetontology.net/phenGeolFault/"
#  sorealo: "http://sweetontology.net/realmLandOrographic/"
#  sophatmowm: "http://sweetontology.net/phenAtmoWindMesoscale/"
#  soma: "http://sweetontology.net/matr/"
#  sophsy: "http://sweetontology.net/phenSystem/"
#  sophfd: "http://sweetontology.net/phenFluidDynamics/"
#  sophft: "http://sweetontology.net/phenFluidTransport/"
#  sorepsg: "http://sweetontology.net/reprSpaceGeometry/"
#  sopropst: "http://sweetontology.net/propSpaceThickness/"
#  soreacz: "http://sweetontology.net/realmClimateZone/"
#  orcid: "https://orcid.org/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	object_id	object_label	predicate_id	match_type	Comments
ENVO:01001610	active layer in a cryosphere	soreas:ActiveLayer	active layer	skos:closeMatch	HumanCurated	SWEET does not have a definition.  This could change to exactMatch if SWEET adopted the ENVO definition.
ENVO:03000103	aeolian transport of snow	sophatmow:Wind	wind	skos:relatedMatch	HumanCurated	SWEET does not have a definition or specific class for wind transport of snow.
ENVO:01001505	alpine tundra biome	soreac:AlpineTundra	alpine tundra	skos:relatedMatch	HumanCurated	Alpine ecosystem in ENVO is closely allied to the SWEET cryospheric realm AlpineTundra; but somewhat different from the Alpine tundra biome
ENVO:01001371	alpine tundra ecosystem	soreac:AlpineTundra	alpine tundra	skos:closeMatch	HumanCurated	Alpine ecosystem in ENVO is closely allied to the SWEET cryospheric realm AlpineTundra; but somewhat different from the Alpine tundra biome
ENVO:01001508	anchored ice calf	soreac:Calf	calf	skos:broadMatch	HumanCurated	SWEET Calf is less specific than ENVO anchored ice calf
ENVO:01001558	area of seasonal sea ice	soreac:SeasonalIce	seasonal ice	skos:closeMatch	HumanCurated	SWEET needs to adjust the ENVO related to be this one.  In ENVO seasonal ice is associated with an area where it will melt, rather than an area where it will persist to become 2nd year ice
ENVO:03000145	area of snow cover	sophhy:SnowCover	snow cover	skos:relatedMatch	HumanCurated	SWEET has two terms for snow cover (a thickness and a hydrospheric phenomenon);
ENVO:00000112	area of tundra	soreac:Tundra	tundra	skos:relatedMatch	HumanCurated	Within ENVO it's a site in SWEET a realm hence related match.
ENVO:00000429	arete	sorealg:Arete	arete	skos:relatedMatch	HumanCurated	In SWEET an arete is considered to be a type of plain, but in ENVO and in actuality an arete is a kind of ridge; so the SWEET hierarchy needs to be changed.  It should be noted that SWEET has 3 kinds of ridge; the closest is sorealo:Ridge.
ENVO:01000691	avalanche	sophgg:Avalanche	avalanche	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term.
ENVO:01000691	avalanche	sophhy:Snowslide	snowslide	skos:narrowMatch	HumanCurated	In SWEET a snowslide is a subclass of avalanche
ENVO:01000903	blizzard	sophatmopc:Blizzard	blizzard	skos:relatedMatch	HumanCurated	Candidate Exact/Close match if SWEET updates the defintion and or hierachical placement. In ENVO it's a snowstorm that includes snow fall. In SWEET it's a snowfall.
ENVO:00003044	brine	somaw:Brine	brine	skos:closeMatch	HumanCurated	Candidate Exact match if SWEET adopts the ENVO definition.
ENVO:03000032	calving of ice from an iceberg	sophcr:IceCalving	ice calving	skos:broadMatch	HumanCurated	SWEET lacks more specific terms under ice calving
ENVO:01001658	calving of ice into water	sophcr:IceCalving	ice calving	skos:broadMatch	HumanCurated	SWEET lacks more specific terms under ice calving
ENVO:01001657	calving of ice onto land	sophcr:IceCalving	ice calving	skos:broadMatch	HumanCurated	SWEET lacks more specific terms under ice calving
ENVO:00000155	cirque	sorealg:Cirque	cirque	skos:relatedMatch	HumanCurated	In SWEET this is a subclass of plain, but actually it is a roughly circular depression at the peak (which is a comment in SWEET), so the SWEET Heirarchy should be updated.
ENVO:03000013	cirque glacier	sorealg:Cirque	cirque	skos:relatedMatch	HumanCurated	In SWEET this is a subclass of plain, but actually it is a roughly circular depression at the peak (which is a comment in SWEET), so the SWEET Heirarchy should be updated.
ENVO:01001706	cold front	sophatmofr:ColdFront	cold front	skos:relatedMatch	HumanCurated	SWEET class is a mathmatical abstraction of a front, so related not candidate for exact.
ENVO:01000724	condensation process	soprocsc:Condensation	condensation	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:01001510	material congelation process	sophso:Congelation	congelation	skos:closeMatch	HumanCurated	SWEET has no definition but the term is placed under the phenomenon heirarchy which is the equivalent of ENVO's processes
ENVO:01001512	congelation sea ice	soreac:CongelationIce	congelation ice	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:00002236	cryosol	soreas:Cryosol	cryosol	skos:relatedMatch	HumanCurated	In SWEET this in a classification scheme (a categorical datatype with value Cryosol), not a physical entity as it is represented in ENVO
ENVO:03000143	cryosphere	sorea:Cryosphere	cryosphere	skos:relatedMatch	HumanCurated	In SWEET this is a realm, while in ENVO it is an astronomical body part, so these are pretty close, however as per the subclassing of hydrosphere in SWEET this can't be a close match with the ENVO term which doesn't imply water.
ENVO:01001609	cryospheric layer	sorea:Cryosphere	cryosphere	skos:relatedMatch	HumanCurated	Forced to be related as per the subclassing of hydrosphere in SWEET.
ENVO:09200023 	depth of snow	sophhy:SnowCover	snow cover	skos:relatedMatch	HumanCurated	Snow cover is a process in SWEET which is loosely related to the concept of depth of snow in ENVO
ENVO:01001517	drift ice mass	soreac:DriftIce	drift ice	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:01001518	drifting sea ice mass	soreac:DriftIce	drift ice	skos:broadMatch	HumanCurated	SWEET DriftIce is less specific than ENVO's drifting sea ice mass
ENVO:01001622	englacial process	sophcr:Englacial	englacial	skos:closeMatch	HumanCurated	Englacial is a process in SWEET and in ENVO. A candidate for exact match if SWEET adds ENVO's definition to SWEET's term.
ENVO:01001622	englacial process	sophcr:EnglacialProcess	englacial process	skos:closeMatch	HumanCurated	Candidate Exact match.  In SWEET this is deprecated.
ENVO:03000018	englacial stream	soreahb:Stream	stream	skos:broadMatch	HumanCurated	SWEET doesn't have this level of granularity
ENVO:00000282	esker	sorealg:Esker	esker	skos:relatedMatch	HumanCurated	In SWEET an esker is a glacial landform - a type of geometrical object, as are ridges but the two terms are parallel concepts; in ENVO an esker is a kind of ridge and a material entity.
ENVO:03400009	falling sleet	sophatmopc:Sleet	sleet	skos:relatedMatch	HumanCurated	SWEET has confounded the material with the process (double inheritance)
ENVO:01001522	fast ice	soreac:FastIce	fast ice	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:03000002	firn	somaw:Firn	firn	skos:closeMatch	HumanCurated	SWEET has it as subclass to ice crystal which is probably not correct with the definition of firn we've come across. This could be refined in SWEET. If it is put as a subclass of snow it would be a candidate exact match.
ENVO:03000071	first year ice	soreac:SeasonalIce	seasonal ice	skos:relatedMatch	HumanCurated	This SWEET term maps even more closely to ENVO area of seasonal sea ice
ENVO:00000039	fjord	soreahb:Fiord	fiord	skos:closeMatch	HumanCurated	SWEET considers fjords to be a subtype of estuary - ENVO doesn't.
ENVO:01001552	flaw lead	soreac:Lead	lead	skos:relatedMatch	HumanCurated	SWEET doesn't have this level of granularity and limits leads to sea ice though fresh water ice can have leads as well (e.g., Great Lakes ice)
ENVO:01001507	floating ice calf	soreac:Calf	calf	skos:broadMatch	HumanCurated	SWEET Calf is less specific than ENVO floating ice calf
