Geonames:A.ADM1	first-order administrative division	ENVO:00000005	first-order administrative region
Geonames:A.ADM2	second-order administrative division	ENVO:00000006	second-order administrative region
Geonames:A.ADM3	third-order administrative division	ENVO:00000007	third-order administrative region
Geonames:A.ADM4	fourth-order administrative division	ENVO:00000008	fourth-order administrative region
Geonames:S.GDN	garden(s)	ENVO:00000011	garden
Geonames:H.OVF	overfalls	ENVO:00000012	hydrographic feature
Geonames:H.CNL	canal	ENVO:00000014	canal
Geonames:H.OCN	ocean	ENVO:00000015	ocean
Geonames:H.SEA	sea	ENVO:00000016	sea
Geonames:H.LKN	salt lake	ENVO:00000019	saline lake
Geonames:H.LKSN	salt lakes	ENVO:00000019	saline lake
Geonames:H.LK	lake	ENVO:00000020	lake
Geonames:H.LKS	lakes	ENVO:00000020	lake
Geonames:H.STM	stream	ENVO:00000023	stream
Geonames:H.STMS	streams	ENVO:00000023	stream
Geonames:H.STMI	intermittent stream	ENVO:00000024	intermittent stream
Geonames:H.RSV	reservoir(s)	ENVO:00000025	reservoir
Geonames:H.WLL	well	ENVO:00000026	well
Geonames:H.WLLS	wells	ENVO:00000026	well
Geonames:H.SPNG	spring(s)	ENVO:00000027	spring
Geonames:H.NRWS	narrows	ENVO:00000029	watercourse
Geonames:H.RCH	reach	ENVO:00000029	watercourse
Geonames:S.SPLY	spillway	ENVO:00000029	watercourse
Geonames:H.WTRC	watercourse	ENVO:00000029	watercourse
Geonames:H.WAD	wadi	ENVO:00000031	wadi
Geonames:H.WADB	wadi bend	ENVO:00000031	wadi
Geonames:H.WADJ	wadi junction	ENVO:00000031	wadi
Geonames:H.WADS	wadies	ENVO:00000031	wadi
Geonames:H.BAY	bay	ENVO:00000032	bay
Geonames:H.BAYS	bays	ENVO:00000032	bay
Geonames:H.BGHT	bight(s)	ENVO:00000032	bay
Geonames:H.PND	pond	ENVO:00000033	pond
Geonames:H.PNDS	ponds	ENVO:00000033	pond
Geonames:H.POOL	pool(s)	ENVO:00000033	pond
Geonames:H.RPDS	rapids	ENVO:00000034	rapids
Geonames:H.MRSH	marsh(es)	ENVO:00000035	marsh
Geonames:H.CNLI	irrigation canal	ENVO:00000036	irrigation canal
Geonames:H.LGN	lagoon	ENVO:00000038	lagoon
Geonames:H.LGNS	lagoons	ENVO:00000038	lagoon
Geonames:H.FJD	fjord	ENVO:00000039	fjord
Geonames:H.FJDS	fjords	ENVO:00000039	fjord
Geonames:H.FLLS	waterfall(s)	ENVO:00000040	waterfall
Geonames:H.CRKT	tidal creek(s)	ENVO:00000041	tidal creek
Geonames:H.CNLD	drainage canal	ENVO:00000042	drainage canal
Geonames:H.WTLD	wetland	ENVO:00000043	wetland
Geonames:H.BOG	bog(s)	ENVO:00000044	peatland
Geonames:H.ESTY	estuary	ENVO:00000045	estuary
Geonames:H.CHNN	navigation channel	ENVO:00000048	navigation canal
Geonames:H.CNLN	navigation canal(s)	ENVO:00000048	navigation canal
