LTER:695	oceans	ENVO:00000015	ocean
LTER:562	streams	ENVO:00000023	stream
LTER:182	estuaries	ENVO:00000045	estuary
LTER:82	canopies	ENVO:00000047	canopy
LTER:482	salt marshes	ENVO:00000054	saline marsh
LTER:475	roads	ENVO:00000064	road
LTER:76	buildings	ENVO:00000073	building
LTER:147	deserts	ENVO:00000097	desert
LTER:232	grasslands	ENVO:00000106	grassland
LTER:330	meadows	ENVO:00000108	meadow
LTER:503	shrubs	ENVO:00000109	woodland
LTER:2	forests	ENVO:00000111	forest
LTER:605	tundra	ENVO:00000112	tundra
LTER:408	permafrost	ENVO:00000134	permafrost
LTER:386	ocean currents	ENVO:00000147	ocean current
LTER:127	coral reefs	ENVO:00000150	coral reef
LTER:171	dunes	ENVO:00000170	dune
LTER:177	elevation	ENVO:00000176	elevation
LTER:434	playa	ENVO:00000196	alkaline flat
LTER:351	moorings	ENVO:00000231	moor
LTER:197	floodplain	ENVO:00000255	flood plain
LTER:58	basins	ENVO:00000291	drainage basin
LTER:626	watersheds	ENVO:00000292	watershed
LTER:173	ecosystems	ENVO:00000428	biome
LTER:79	burning	ENVO:00000444	clearing
LTER:18	air	ENVO:00002005	air
LTER:617	water	ENVO:00002006	water
LTER:492	sedimentation	ENVO:00002007	sediment
LTER:493	sediments	ENVO:00002007	sediment
LTER:216	freshwater	ENVO:00002011	fresh water
LTER:238	habitats	ENVO:00002036	habitat
LTER:637	wood	ENVO:00002040	wood
LTER:235	groundwater	ENVO:00002041	ground water
LTER:701	seawater	ENVO:00002149	sea water
LTER:472	rhizosphere	ENVO:00005801	rhizosphere
LTER:356	mud	ENVO:01000001	mud
LTER:484	sand	ENVO:01000017	sand
LTER:395	organisms	ENVO:01000162	organ
LTER:341	mineralization	ENVO:01000256	mineral
LTER:48	atmosphere	ENVO:01000267	atmosphere
LTER:262	ice	ENVO:01000277	ice
