SWEETRealm:AdministrativeRegion		ENVO:00000004	administrative region
SWEETRealm:Country		ENVO:00000009	national geopolitical entity
SWEETRealm:State		ENVO:00000009	national geopolitical entity
SWEETRealm:Canal		ENVO:00000014	canal
SWEETRealm:Ocean		ENVO:00000015	ocean
SWEETRealm:Lake		ENVO:00000020	lake
SWEETRealm:FreshwaterLake		ENVO:00000021	freshwater lake
SWEETRealm:River		ENVO:00000022	river
SWEETRealm:Stream		ENVO:00000023	stream
SWEETRealm:Reservoir		ENVO:00000025	reservoir
SWEETRealm:Well		ENVO:00000026	well
SWEETRealm:Spring		ENVO:00000027	spring
SWEETRealm:Arroyo		ENVO:00000031	wadi
SWEETRealm:Wash		ENVO:00000031	wadi
SWEETRealm:Bay		ENVO:00000032	bay
SWEETRealm:Pond		ENVO:00000033	pond
SWEETRealm:Torrent		ENVO:00000034	rapids
SWEETRealm:Marsh		ENVO:00000035	marsh
SWEETRealm:Drain		ENVO:00000037	ditch
SWEETRealm:Lagoon		ENVO:00000038	lagoon
SWEETRealm:Fiord		ENVO:00000039	fjord
SWEETRealm:Fjord		ENVO:00000039	fjord
SWEETRealm:Wetland		ENVO:00000043	wetland
SWEETRealm:Peatland		ENVO:00000044	peatland
SWEETRealm:Estuary		ENVO:00000045	estuary
SWEETRealm:Canopy		ENVO:00000047	canopy
SWEETRealm:BodyOfWater		ENVO:00000063	water body
SWEETRealm:Highway		ENVO:00000064	road
SWEETRealm:Cave		ENVO:00000067	cave
SWEETRealm:Tunnel		ENVO:00000068	tunnel
SWEETRealm:Aqueduct		ENVO:00000072	aquaduct
SWEETRealm:Dam		ENVO:00000074	dam
SWEETRealm:MountainRange		ENVO:00000080	mountain range
SWEETRealm:Mountain		ENVO:00000081	mountain
SWEETRealm:Hill		ENVO:00000083	hill
SWEETRealm:Pass		ENVO:00000084	mountain pass
SWEETRealm:Plain		ENVO:00000086	plain
SWEETRealm:Cliff		ENVO:00000087	cliff
SWEETRealm:CoastalPlain		ENVO:00000090	coastal plain
SWEETRealm:Beach		ENVO:00000091	beach
SWEETRealm:Desert		ENVO:00000097	desert
SWEETRealm:Island		ENVO:00000098	island
SWEETRealm:Valley		ENVO:00000100	valley
SWEETRealm:Delta		ENVO:00000101	delta
SWEETRealm:Break		ENVO:00000109	woodland
SWEETRealm:Scrub		ENVO:00000109	woodland
SWEETRealm:Forest		ENVO:00000111	forest
SWEETRealm:Tundra		ENVO:00000112	tundra
SWEETRealm:Range		ENVO:00000113	cultivated habitat
SWEETRealm:Field		ENVO:00000114	agricultural field
SWEETRealm:Path		ENVO:00000122	track
SWEETRealm:LandIce		ENVO:00000131	glacial feature
SWEETRealm:IceSheet		ENVO:00000132	ice sheet
SWEETRealm:Glacier		ENVO:00000133	glacier
SWEETRealm:Cove		ENVO:00000138	cove
SWEETRealm:Bank		ENVO:00000141	bank
SWEETRealm:IceCap		ENVO:00000145	ice cap
SWEETRealm:OceanCurrent		ENVO:00000147	ocean current
SWEETRealm:Sabkha		ENVO:00000151	sabkha
SWEETRealm:Atoll		ENVO:00000166	atoll
SWEETRealm:Bar		ENVO:00000167	bar
SWEETRealm:Canyon		ENVO:00000169	canyon
SWEETRealm:Dune		ENVO:00000170	dune
SWEETRealm:Isthmus		ENVO:00000174	isthmus
SWEETRealm:Karst		ENVO:00000175	karst
