iri	iri label	entity	entity label	attribute	attribute label
OBA_0100001	cellular component attribute	GO_0005575	cellular_component	PATO_0000001	quality
OBA_0100002	biological process attribute	GO_0008150	biological_process	PATO_0000001	quality
OBA_0100003	anatomical entity attribute	UBERON_0001062	anatomical entity	PATO_0000001	quality
OBA_0100004	chemical entity attribute	CHEBI_24431	chemical entity	PATO_0000001	quality
OBA_0100005	protein attribute	PR_000000001	protein	PATO_0000001	quality
OBA_0000006	Malpighian tubule diameter	UBERON_0001054	Malpighian tubule	PATO_0001334	diameter
OBA_0000007	Malpighian tubule size	UBERON_0001054	Malpighian tubule	PATO_0000117	size
OBA_0000011	actin filament length	GO_0005884	actin filament	PATO_0000122	length
OBA_0000015	anatomical structure size	UBERON_0000061	anatomical structure	PATO_0000117	size
OBA_0000022	autophagic vacuole size	GO_0005776	autophagosome	PATO_0000117	size
OBA_0000023	axon diameter	GO_0030424	axon	PATO_0001334	diameter
OBA_0000032	blood vessel size	UBERON_0001981	blood vessel	PATO_0000117	size
OBA_0000040	calcium ion concentration	CHEBI_39124	calcium ion	PATO_0000033	concentration of
OBA_0000048	cell diameter	GO_0005623	cell	PATO_0001334	diameter
OBA_0000051	cell projection size	GO_0042995	cell projection	PATO_0000117	size
OBA_0000052	cell shape	GO_0005623	cell	PATO_0000052	shape
OBA_0000055	cell size	GO_0005623	cell	PATO_0000117	size
OBA_0000056	cell volume	GO_0005623	cell	PATO_0000918	volume
OBA_0000057	cellular component size	GO_0005575	cellular_component	PATO_0000117	size
OBA_0000060	cilium beat frequency	GO_0003341	cilium movement	PATO_0000044	frequency
OBA_0000061	circulating fibrinogen levels	GO_0005577	fibrinogen complex	PATO_0000070	amount
OBA_0000066	direction of cell growth	GO_0016049	cell growth	PATO_0000039	direction
OBA_0000067	embryonic cell shape	CL_0002321	embryonic cell	PATO_0000052	shape
OBA_0000068	endosome size	GO_0005768	endosome	PATO_0000117	size
OBA_0000074	heart contraction rate	GO_0060047	heart contraction	PATO_0000161	rate
OBA_0000079	hormone levels	CHEBI_24621	hormone	PATO_0000070	amount
OBA_0000084	imaginal disc-derived wing size	UBERON_0000984	imaginal disc-derived wing	PATO_0000117	size
OBA_0000088	liquid surface tension	PATO_0001735	liquid configuration	PATO_0001461	surface tension
OBA_0000092	lysosomal membrane permeability	GO_0005765	lysosomal membrane	PATO_0000970	permeability
OBA_0000099	membrane potential	GO_0016020	membrane	PATO_0001464	electric potential
OBA_0000101	metanephric kidney size	UBERON_0000081	metanephros	PATO_0000117	size
