attribute	attribute label	entity	entity label	location	location label
PATO:0001536	solubility	CHEBI:27594	carbon atom	ENVO:00010483	environmental material
PATO:0001536	solubility	CHEBI:27594	carbon atom	ENVO:00001998	soil
PATO:0001536	solubility	CHEBI:27594	carbon atom	ENVO:00002006	water
PATO:0000070	amount	CHEBI:27594	carbon atom	ENVO:00010483	environmental material
PATO:0000070	amount	CHEBI:27594	carbon atom	ENVO:00001998	soil
PATO:0000070	amount	CHEBI:27594	carbon atom	ENVO:00002006	water
PATO:0000033	concentration of	CHEBI:27594	carbon atom	ENVO:00010483	environmental material
PATO:0000033	concentration of	CHEBI:27594	carbon atom	ENVO:00001998	soil
PATO:0000033	concentration of	CHEBI:27594	carbon atom	ENVO:00002006	water
PATO:0001536	solubility	CHEBI:25555	nitrogen atom	ENVO:00010483	environmental material
PATO:0001536	solubility	CHEBI:25555	nitrogen atom	ENVO:00001998	soil
PATO:0001536	solubility	CHEBI:25555	nitrogen atom	ENVO:00002006	water
PATO:0000070	amount	CHEBI:25555	nitrogen atom	ENVO:00010483	environmental material
PATO:0000070	amount	CHEBI:25555	nitrogen atom	ENVO:00001998	soil
PATO:0000070	amount	CHEBI:25555	nitrogen atom	ENVO:00002006	water
PATO:0000033	concentration of	CHEBI:25555	nitrogen atom	ENVO:00010483	environmental material
PATO:0000033	concentration of	CHEBI:25555	nitrogen atom	ENVO:00001998	soil
PATO:0000033	concentration of	CHEBI:25555	nitrogen atom	ENVO:00002006	water
