envo_id,label
http://purl.obolibrary.org/obo/ENVO_01001838,arid biome
http://purl.obolibrary.org/obo/ENVO_01001830,tropical biome
http://purl.obolibrary.org/obo/ENVO_00002030,aquatic biome
http://purl.obolibrary.org/obo/ENVO_01001832,subtropical biome
http://purl.obolibrary.org/obo/ENVO_01001837,subalpine biome
http://purl.obolibrary.org/obo/ENVO_01001834,subpolar biome
http://purl.obolibrary.org/obo/ENVO_01001831,temperate biome
http://purl.obolibrary.org/obo/ENVO_01001836,montane biome
http://purl.obolibrary.org/obo/ENVO_01000339,polar biome
http://purl.obolibrary.org/obo/ENVO_00000446,terrestrial biome
http://purl.obolibrary.org/obo/ENVO_01000176,shrubland biome
http://purl.obolibrary.org/obo/ENVO_01001369,tidal mangrove shrubland
http://purl.obolibrary.org/obo/ENVO_01000218,xeric shrubland biome
http://purl.obolibrary.org/obo/ENVO_00000893,xeric basin biome
http://purl.obolibrary.org/obo/ENVO_01000219,anthropogenic terrestrial biome
http://purl.obolibrary.org/obo/ENVO_01001833,mediterranean biome
http://purl.obolibrary.org/obo/ENVO_01001835,alpine biome
