cls,def,xrefs
http://purl.obolibrary.org/obo/ENVO_0010095,,
_:b0,,
http://purl.obolibrary.org/obo/ENVO_01000585,"A desk is a table which is intended for information-manipulation tasks, including writing and use of interactive electronics.",
http://purl.obolibrary.org/obo/ENVO_02500005,A process which diminishes the functioning of an ecosystem located on land.,
_:b1,,
http://purl.obolibrary.org/obo/ENVO_00005783,,
http://purl.obolibrary.org/obo/ENVO_01000021,"Expressions of the mangrove biome are typically found in tropical and sub-tropical tidal areas, in depositional coastal environments where fine sediments (often with high organic content) collect in areas protected from high energy wave action. A variety of characteristic trees and shrubs occur here and are able to withstand a high degree of salinity as well as regions of anoxia and frequent tidal inundation. These areas include estuaries and marine shorelines.",
http://purl.obolibrary.org/obo/ENVO_00003062,Meat from the domestic pig  (Sus domesticus).,Wikipedia:Pork
_:b2,,
_:b3,,
http://purl.obolibrary.org/obo/ENVO_00000082,A group of hills bordered by lowlands.,
http://purl.obolibrary.org/obo/ENVO_0010055,,
http://purl.obolibrary.org/obo/ENVO_00002266,,
_:b4,,
http://purl.obolibrary.org/obo/ENVO_01000456,"A concrete masonry unit is a large, rectangular masonry unit primarily composed of concrete.",
http://purl.obolibrary.org/obo/ENVO_00003055,"A drum of very rich, creamy, pungent blue-veined cow's milk cheese. It has a white paste with blue veining and a brined rind. It is made in Gorgonzola, near Milan.",Wikipedia:Gorgonzola
http://purl.obolibrary.org/obo/ENVO_01000446,"A ravine is a small, narrow, steep-sided valley that is larger than a gully and smaller than a canyon and that is usually worn by running water.",
http://purl.obolibrary.org/obo/ENVO_0010156,,
http://purl.obolibrary.org/obo/ENVO_00002251,"Planosols are soils with a light-coloured, surface horizon that shows signs of periodic water stagnation and abruptly overlies a dense, slowly permeable subsoil with significantly more clay than the surface horizon.",
http://purl.obolibrary.org/obo/ENVO_01000031,"A prominent or distinctive aspect, quality, or characteristic of a marine biome.",
http://purl.obolibrary.org/obo/ENVO_0010096,,
http://purl.obolibrary.org/obo/ENVO_00003979,,Wikipedia:Sour_milk
http://purl.obolibrary.org/obo/ENVO_00002226,,Wikipedia:Borehole SWEETRealm:Borehole
http://purl.obolibrary.org/obo/ENVO_01000076,"A marine chemocline is a marine cline caused by a strong, vertical chemistry gradient within a body of marine water. Chemoclines most commonly occur where local conditions favor the formations of anoxic bottom water.",
http://purl.obolibrary.org/obo/ENVO_0010094,,
http://purl.obolibrary.org/obo/ENVO_01000496,A straw exterior wall is an exterior wall that is composed primarily of straw.,
http://purl.obolibrary.org/obo/ENVO_00005784,,
http://purl.obolibrary.org/obo/ENVO_01000064,"A marine downwelling describes a net current of marine surface water towards deeper regions of the water column. Marine downwellings are usually caused by differences in the density (and hence, temperature and salinity) of seawater.",
http://purl.obolibrary.org/obo/ENVO_01000649,"A trench is a type of excavation or depression in the ground that is generally deeper than it is wide (as opposed to a wider gully or ditch), and narrow compared to its length (as opposed to a simple hole).",SWEETRealm:Trench EcoLexicon:trench
http://purl.obolibrary.org/obo/ENVO_01000632,"A chonolith is an igneous rock intrusion of irregular shape with a demonstrable base, absent in other types of irregularly-shaped intrusions.",
http://purl.obolibrary.org/obo/ENVO_0010056,,
http://purl.obolibrary.org/obo/ENVO_00000071,"A cave developed along a fault or fault zone, either by movement of the fault or by preferential solution along it.",
http://purl.obolibrary.org/obo/ENVO_02000068,"A food product from a category of domestic birds kept for meat, eggs, and feathers including fowl such as chickens, turkeys, and waterfowls such as domestic ducks and geese and other meat birds such as pigeons and doves and games birds including pheasants.",Wikipedia:Poultry
http://purl.obolibrary.org/obo/ENVO_01000492,A dung building floor is a building floor which is composed primarily of dried animal feces.,
_:b5,,
http://purl.obolibrary.org/obo/ENVO_00003073,,Wikipedia:Seafood
http://purl.obolibrary.org/obo/ENVO_00000272,The point where a tributary joins a more major river.,TGN:21381 Geonames:H.CNFL FTT:531 TGN:21160 EcoLexicon:confluence FTT:105 Wikipedia:Confluence
http://purl.obolibrary.org/obo/ENVO_01000624,Hydrological condensation is a process in which atmospheric water vapour undergoes a phase transition from the gas phase to the liquid phase.,
http://purl.obolibrary.org/obo/ENVO_00002160,,
_:b6,,
http://purl.obolibrary.org/obo/ENVO_00005785,,Wikipedia:Volcanic_soil
http://purl.obolibrary.org/obo/ENVO_00003978,,
http://purl.obolibrary.org/obo/ENVO_00002039,The rigid organs that form part of the endoskeleton of vertebrates.,Wikipedia:Bone
http://purl.obolibrary.org/obo/ENVO_01000614,"A bicycle is a human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other.",
http://purl.obolibrary.org/obo/ENVO_02000056,"A food consisting of a round or oval body laid by the female of many animals, consisting of an ovum surrounded by layers of membranes and an outer casing, which acts to nourish and protect a developing embryo and its nutrient reserves.",
http://purl.obolibrary.org/obo/ENVO_02000042,"Interstitial fluid is a bodily fluid consisting of a solution which bathes and surrounds the cells of multicellular animals. It is the main component of the extracellular fluid, which also includes plasma and transcellular fluid.",Wikipedia:Interstitial_fluid
http://purl.obolibrary.org/obo/ENVO_0010093,,
http://purl.obolibrary.org/obo/ENVO_0010045,"A relish, sauce, or seasoning  added to food to impart a particular flavour or to complement the dish.",
http://purl.obolibrary.org/obo/ENVO_00002027,A habitat characterized by an average temperature of at least 80deg C. Inhabited by hyperthermophilic organisms.,
http://purl.obolibrary.org/obo/ENVO_01000103,"A warm water, narrow marine surface current flowing from the equator to high latitudes at speeds between 40 and 120 kilometers per day. Western boundary currents are the deepest ocean surface flows, usually extending 1000 meters below the ocean surface.",SWEETRealm:WesternBoundaryCurrent
http://purl.obolibrary.org/obo/ENVO_0010053,,
http://purl.obolibrary.org/obo/ENVO_01000602,"A truck is a motor vehicle which, as its primary funcion, transports cargo rather than human passangers.",
http://purl.obolibrary.org/obo/ENVO_0010112,A product of the  dry seeds of Vigna unguiculata.,
http://purl.obolibrary.org/obo/ENVO_0010119,A product of the  dry seeds of Canavalia gladiata.,
http://purl.obolibrary.org/obo/ENVO_0010009,,
http://purl.obolibrary.org/obo/ENVO_00003090,A portion of kynurenate enriched soil is a portion of soil with elevated levels of kynurenate.,
http://purl.obolibrary.org/obo/ENVO_02000039,Synovial fluid is a bodily fluid secreted by the synovial membrane into the joint cavity to form a thin layer at the surface of cartilage.,Wikipedia:Synovial_fluid
http://purl.obolibrary.org/obo/ENVO_0010154,,
http://purl.obolibrary.org/obo/ENVO_00002116,A portion of contaminated soil is a portion of soil with elevated levels of some contaminant.,
http://purl.obolibrary.org/obo/ENVO_01000251,"A subpolar condition is an environmental condition in which an environmental system receives low, yearly solar irradiance per unit area and is surrounded by large land masses. This results in very cold winters with temperatures potentially falling to around -40 degrees Celsius and summers which last no more than 3 months of the year with a 24-hour average temperature of at least 10 degrees Celsius.",
http://purl.obolibrary.org/obo/ENVO_00003977,,
http://purl.obolibrary.org/obo/ENVO_00005786,,
http://purl.obolibrary.org/obo/ENVO_00000540,,
http://purl.obolibrary.org/obo/ENVO_0010092,,
