x,xl,p,pl,y,yl
http://purl.obolibrary.org/obo/ENVO_00003967,creamery,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00003862,dairy
http://purl.obolibrary.org/obo/ENVO_01000137,organic matter fall,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000501,bed
http://purl.obolibrary.org/obo/ENVO_02000003,pockmark field,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000160,marine pockmark
http://purl.obolibrary.org/obo/ENVO_01000300,atmospheric Taylor column,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_01000267,atmosphere
http://purl.obolibrary.org/obo/ENVO_00000498,volcanic dike,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_01000634,volcanic eruption
http://purl.obolibrary.org/obo/ENVO_01000180,tundra biome,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00000112,tundra
http://purl.obolibrary.org/obo/ENVO_00002132,metalimnion,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000199,meromictic lake
http://purl.obolibrary.org/obo/ENVO_01000634,volcanic eruption,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_01000638,planetary crust
http://purl.obolibrary.org/obo/ENVO_00000390,mountain spur,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000081,mountain
http://purl.obolibrary.org/obo/ENVO_00000507,wadi mouth,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_00000031,wadi
http://purl.obolibrary.org/obo/ENVO_00002000,slope,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000176,elevation
http://purl.obolibrary.org/obo/ENVO_01000139,animal carcass fall,http://purl.obolibrary.org/obo/RO_0002219,,http://purl.obolibrary.org/obo/ENVO_00002006,water
http://purl.obolibrary.org/obo/ENVO_01000731,igneous extrusion,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002013,igneous rock
http://purl.obolibrary.org/obo/ENVO_01000510,'sheet-iron building roof',http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000507,iron sheet
http://purl.obolibrary.org/obo/ENVO_01000702,ash fall process,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_01000701,volcanic ash
https://purl.obolibrary.org/obo/ENVO_01000542,ozone layer,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_01000538,stratosphere
http://purl.obolibrary.org/obo/ENVO_00002117,creosote contaminated soil,http://purl.obolibrary.org/obo/envo#has_increased_levels_of,,http://purl.obolibrary.org/obo/ENVO_2000001,creosote
http://purl.obolibrary.org/obo/ENVO_01000200,tropical broadleaf forest biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000204,tropical
http://purl.obolibrary.org/obo/ENVO_01000400,tropical thorn forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000204,tropical
http://purl.obolibrary.org/obo/ENVO_01000521,batholith,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002013,igneous rock
http://purl.obolibrary.org/obo/ENVO_01000390,temperate mixed needleleaf forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000206,temperate
http://purl.obolibrary.org/obo/ENVO_00005743,roadside soil,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_01000447,roadside
http://purl.obolibrary.org/obo/ENVO_01000075,marine thermocline,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00001999,marine water body
http://purl.obolibrary.org/obo/ENVO_00000102,cave entrance,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000067,cave
http://purl.obolibrary.org/obo/ENVO_00005758,alluvial swamp soil,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000233,swamp
http://purl.obolibrary.org/obo/ENVO_01000490,sandy building floor,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_01000017,sand
http://purl.obolibrary.org/obo/ENVO_00002127,stream sediment,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000023,stream
http://purl.obolibrary.org/obo/ENVO_01000105,marine benthic feature,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_01000024,marine benthic biome
http://purl.obolibrary.org/obo/ENVO_01000445,disturbed area,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000254,environmental system
http://purl.obolibrary.org/obo/ENVO_01000187,subtropical savanna biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000205,subtropical
http://purl.obolibrary.org/obo/ENVO_01000533,covered pit latrine with slab floor,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000520,latrine slab
http://purl.obolibrary.org/obo/ENVO_00000495,tributary,http://purl.obolibrary.org/obo/RO_0002376,,http://purl.obolibrary.org/obo/ENVO_00000012,hydrographic feature
http://purl.obolibrary.org/obo/ENVO_01000186,polar desert biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000238,polar
http://purl.obolibrary.org/obo/ENVO_00000344,grain of desert sand,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00005800,desert sand
http://purl.obolibrary.org/obo/ENVO_01000712,riverine flood,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_01000708,riverine flooding
http://purl.obolibrary.org/obo/ENVO_01000401,tropical mixed needleleaf forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000204,tropical
http://purl.obolibrary.org/obo/ENVO_00002063,oil seep,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002985,oil
http://purl.obolibrary.org/obo/ENVO_01000657,igneous intrusion process,http://purl.obolibrary.org/obo/RO_0002233,,http://purl.obolibrary.org/obo/ENVO_01000648,magma
http://purl.obolibrary.org/obo/ENVO_01000373,biological waste material,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002873,organic waste material
http://purl.obolibrary.org/obo/ENVO_00000084,mountain pass,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000080,mountain range
http://purl.obolibrary.org/obo/ENVO_00000382,lake shore,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_01000688,lake coast
http://purl.obolibrary.org/obo/ENVO_00012408,aquifer,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00000329,phreatic zone
http://purl.obolibrary.org/obo/ENVO_00000386,river mouth,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000022,river
http://purl.obolibrary.org/obo/ENVO_01000682,glacial abrasion,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_00000133,glacier
http://purl.obolibrary.org/obo/ENVO_01000333,hillside,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000083,hill
http://purl.obolibrary.org/obo/ENVO_01000250,subpolar coniferous forest biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000251,subpolar
http://purl.obolibrary.org/obo/ENVO_00000416,coastal dune,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_00000303,sea coast
http://purl.obolibrary.org/obo/ENVO_01000615,motorcycle,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000610,motor
http://purl.obolibrary.org/obo/ENVO_01000277,water ice,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002006,water
http://purl.obolibrary.org/obo/ENVO_01000526,sedimentary intrusion,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002016,sedimentary rock
