?x	?xl	?p	?pl	?y	?yl
<http://purl.obolibrary.org/obo/ENVO_00000424>	"lake island"	<http://purl.obolibrary.org/obo/RO_0001025>	"located in"@en	<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000912>	"cloud condensation nucleus"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00010505>	"aerosol"
<http://purl.obolibrary.org/obo/ENVO_01000145>	"marine coral reef back reef"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000150>	"coral reef"
<http://purl.obolibrary.org/obo/ENVO_03000091>	"permafrost methane explosion"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/CHEBI_15379>	"dioxygen"
<http://purl.obolibrary.org/obo/ENVO_01000293>	"ice mass"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000818>	"cryosphere"@en
<http://purl.obolibrary.org/obo/ENVO_02500023>	"algal production"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_02500018>	"algal bloom process"
<http://purl.obolibrary.org/obo/ENVO_01000664>	"tuff cone"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000661>	"tuff"@en
<http://purl.obolibrary.org/obo/ENVO_00005786>	"upland soil"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000182>	"plateau"
<http://purl.obolibrary.org/obo/ENVO_00000299>	"ice field"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000277>	"water ice"
<http://purl.obolibrary.org/obo/ENVO_01000653>	"slum"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000249>	"urban biome"
<http://purl.obolibrary.org/obo/ENVO_02500035>	"transpiration"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_02500034>	"evaporation"
<http://purl.obolibrary.org/obo/ENVO_09200015>	"humidity of soil"	<http://purl.obolibrary.org/obo/RO_0000052>	"inheres in"@en	<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"
<http://purl.obolibrary.org/obo/ENVO_00002013>	"igneous rock"	<http://purl.obolibrary.org/obo/RO_0001000>	"derives from"@en	<http://purl.obolibrary.org/obo/ENVO_01000231>	"lava"
<http://purl.obolibrary.org/obo/ENVO_01001045>	"oceanic subsurface zone"@en	<http://purl.obolibrary.org/obo/RO_0002131>	"overlaps"@en	<http://purl.obolibrary.org/obo/ENVO_01000748>	"continental crust"@en
<http://purl.obolibrary.org/obo/ENVO_00002121>	"alkaline salt lake"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001430>	"alkaline"
<http://purl.obolibrary.org/obo/ENVO_01000192>	"tropical grassland biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000204>	"tropical"
<http://purl.obolibrary.org/obo/ENVO_01000804>	"astronomical object"@en	<http://purl.obolibrary.org/obo/RO_0002219>	"surrounded by"	<http://purl.obolibrary.org/obo/ENVO_01000637>	"outer space"@en
<http://purl.obolibrary.org/obo/ENVO_01000373>	"biological waste material"	<http://purl.obolibrary.org/obo/RO_0000087>	"has role"@en	<http://purl.obolibrary.org/obo/ENVO_01000665>	"waste role"@en
<http://purl.obolibrary.org/obo/ENVO_01000171>	"indeterminate root nodule nitrogen fixation zone"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000168>	"indeterminate root nodule"
<http://purl.obolibrary.org/obo/ENVO_01000470>	"building envelope"	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000472>	"building roof"
<http://purl.obolibrary.org/obo/ENVO_00000084>	"mountain pass"	<http://purl.obolibrary.org/obo/RO_0000086>	"has quality"@en	<http://purl.obolibrary.org/obo/PATO_0001879>	"U-shaped"
<http://purl.obolibrary.org/obo/ENVO_01001087>	"formation of liquid droplets in an atmosphere"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_01001088>	"liquid aerosol"@en
<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"	<http://purl.obolibrary.org/obo/RO_0002007>	"bounding layer of"@en	<http://purl.obolibrary.org/obo/ENVO_01000267>	"atmosphere"
<http://purl.obolibrary.org/obo/ENVO_00000102>	"cave entrance"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000067>	"cave"
<http://purl.obolibrary.org/obo/ENVO_03000017>	"glacial ice loss"@en	<http://purl.obolibrary.org/obo/RO_0000057>	"has participant"@en	<http://purl.obolibrary.org/obo/ENVO_03000004>	"glacial ice"@en
<http://purl.obolibrary.org/obo/ENVO_00005763>	"humus-rich acidic ash soil"	<http://purl.obolibrary.org/obo/envo#has_increased_levels_of>		<http://purl.obolibrary.org/obo/ENVO_01000000>	"humus"
<http://purl.obolibrary.org/obo/ENVO_00000221>	"continental island"	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_00000223>	"continental shelf"
<http://purl.obolibrary.org/obo/ENVO_01001010>	"hydrometeor"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_00002006>	"water"
<http://purl.obolibrary.org/obo/ENVO_01000787>	"wildfire"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_00000446>	"terrestrial biome"
<http://purl.obolibrary.org/obo/ENVO_03000103>	"aeolian transport of snow"@en	<http://purl.obolibrary.org/obo/RO_0002233>	"has input"@en	<http://purl.obolibrary.org/obo/ENVO_03000027>	"powdery snow"@en
<http://purl.obolibrary.org/obo/ENVO_01000537>	"atmospheric ozone"	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/CHEBI_25812>	"ozone"
<http://purl.obolibrary.org/obo/ENVO_03000032>	"calving of ice from an iceberg"@en	<http://purl.obolibrary.org/obo/RO_0002234>	"has output"@en	<http://purl.obolibrary.org/obo/ENVO_01000293>	"ice mass"
<http://purl.obolibrary.org/obo/ENVO_01000186>	"polar desert biome"	<http://purl.obolibrary.org/obo/envo#has_condition>	"has_condition"	<http://purl.obolibrary.org/obo/ENVO_01000238>	"polar"
<http://purl.obolibrary.org/obo/ENVO_01000816>	"area of deciduous forest"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_01000791>	"forest fire"@en	<http://purl.obolibrary.org/obo/BFO_0000066>	"occurs in"@en	<http://purl.obolibrary.org/obo/ENVO_00000111>	"forest"
<http://purl.obolibrary.org/obo/ENVO_01000740>	"area of perennial water ice"@en	<http://purl.obolibrary.org/obo/RO_0002473>	"composed primarily of"	<http://purl.obolibrary.org/obo/ENVO_01000277>	"water ice"
<http://purl.obolibrary.org/obo/ENVO_01000646>	"lithosphere"@en	<http://purl.obolibrary.org/obo/BFO_0000051>	"has part"@en	<http://purl.obolibrary.org/obo/ENVO_01000638>	"planetary crust"@en
<http://purl.obolibrary.org/obo/ENVO_01000861>	"area of dwarf scrub"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"
<http://purl.obolibrary.org/obo/ENVO_02500043>	"pollution monitoring"	<http://purl.obolibrary.org/obo/RO_0002233>	"has input"@en	<http://purl.obolibrary.org/obo/ENVO_02500036>	"environmental pollution"
<http://purl.obolibrary.org/obo/ENVO_03000104>	"snow drift formation"@en	<http://purl.obolibrary.org/obo/RO_0002084>	"during which ends"@en	<http://purl.obolibrary.org/obo/ENVO_03000103>	"aeolian transport of snow"@en
<http://purl.obolibrary.org/obo/ENVO_01000869>	"area of scrub"@en	<http://purl.obolibrary.org/obo/BFO_0000050>	"part of"@en	<http://purl.obolibrary.org/obo/ENVO_01000324>	"planetary surface"
<http://purl.obolibrary.org/obo/ENVO_01000883>	"area of developed open space"@en	<http://purl.obolibrary.org/obo/RO_0002220>	"adjacent to"@en	<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"
<http://purl.obolibrary.org/obo/ENVO_2100004>	"integumental system environment"	<http://purl.obolibrary.org/obo/RO_0002509>	"determined by part of"	<http://purl.obolibrary.org/obo/UBERON_0002416>	"integumental system"
