Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	NCBITaxon:1	rdfs:label	root
ERROR	duplicate_label	PO:0009005	rdfs:label	root
ERROR	duplicate_label	PO:0025127	rdfs:label	primordium
ERROR	duplicate_label	UBERON:0001048	rdfs:label	primordium
ERROR	duplicate_label	ENVO:01000162	rdfs:label	organ
ERROR	duplicate_label	UBERON:0000062	rdfs:label	organ
ERROR	duplicate_label	ENVO:00000479	rdfs:label	mouth
ERROR	duplicate_label	UBERON:0000165	rdfs:label	mouth
ERROR	missing_label	GO:0016301	rdfs:label	
ERROR	missing_label	IAO:0000004	rdfs:label	
ERROR	misused_replaced_by	FOODON:00002300	IAO:0100001	http://www.langual.org/langual_thesaurus.asp?termid=H0202^^http://www.w3.org/2001/XMLSchema#anyURI
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.@en
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en
