?label	?subset	?definition	?URI
"freezing rainfall"	"envoPolar"	"Water-based rainfall which freezes either 1) on impact with a surface to form a coating of clear ice (glaze) or 2) after percolating through surface layers."	"http://purl.obolibrary.org/obo/ENVO_01000896"
"Bathymodiolus-dominated oceanic mussel reef"	"envoMarine"	"An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells"	"http://purl.obolibrary.org/obo/ENVO_01001385"
"season"	"envoAstro"	"A one-dimensional temporal region which is delimited by the occurrence of processes which serve as its delimiters."	"http://purl.obolibrary.org/obo/ENVO_03000096"
"hail stone"	"envoCryo"	"An ice mass which 1) occurs in a ball-shape or irregular lump, 2) has a minimum diameter of 5 millimeters (or 0.2 inches), and 3) is formed within convective clouds."	"http://purl.obolibrary.org/obo/ENVO_03400012"
"entanglement process"	"envoPlastics"	"An environmental system process during which material entities become entrapped, wrapped, twisted, entwined, or otherwise caught in one another."	"http://purl.obolibrary.org/obo/ENVO_06105120"
"area of lichen-dominated vegetation"	"envoPolar"	"An area of a planet's surface which is primarily covered by fruticose or foliose lichens and which is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000889"
"heavy snowfall"	"envoCryo"	"Snowfall which has an increased rate."	"http://purl.obolibrary.org/obo/ENVO_03400004"
"water ice"	"envoPolar"	"Ice which is formed from water."	"http://purl.obolibrary.org/obo/ENVO_01000277"
"root"	"http://purl.obolibrary.org/obo/po#Gymnosperms"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"aerobic respiration, using ammonia as electron donor"	"envoPolar"		"http://purl.obolibrary.org/obo/GO_0019409"
"radiation"	"environmental_hazards"	"A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium."	"http://purl.obolibrary.org/obo/ENVO_01001023"
"estuarine tidal riverine open water upper water column"	"envoCmecs"	"A layer of fresh, tidal estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001327"
"gravitational motion"	"envoAstro"	"A process during which one or more entities move along geodesics in a region of spacetime that has been sufficiently curved towards an entity with sufficient mass and/or energy."	"http://purl.obolibrary.org/obo/ENVO_01001130"
"axilla skin environment"	"envoMeo"	"An environment that is determined by an axilla skin."	"http://purl.obolibrary.org/obo/ENVO_08000001"
"non-saline planetary subsurface environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by those parts of a planetary subsurface zone which are not saline."	"http://purl.obolibrary.org/obo/ENVO_01001047"
"snow-covered land"	"envoCryo"	"Land which is covered or partially covered by snow."	"http://purl.obolibrary.org/obo/ENVO_03000145"
"shoreline"	"envoPlastics"	"A two-dimensional continuant fiat boundary which is located between a landmass and a water body."	"http://purl.obolibrary.org/obo/ENVO_00000486"
"pasture fire"	"environmental_hazards"	"A fire which occurs in a pastureland."	"http://purl.obolibrary.org/obo/ENVO_01001291"
"astronomical object"	"envoAstro"	"An object which is composed of one or more gravitationally bound structures that are associated with a position in space."	"http://purl.obolibrary.org/obo/ENVO_01000804"
"plant organ"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A multi-tissue plant structure (PO:0025496) that is a functional unit, is a proper part of a whole plant (PO:0000003), and includes portions of plant tissue (PO:0009007) of at least two different types that derive from a common developmental path."	"http://purl.obolibrary.org/obo/PO_0009008"
"animal-associated environment"	"envoMeo"	"An environmental system determined by an animal."	"http://purl.obolibrary.org/obo/ENVO_01001002"
"hydrothermal vent"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A fissure in the Earths's surface from which geothermally heated water issues."	"http://purl.obolibrary.org/obo/ENVO_00000215"
"glacial transport process"	"envoPolar"	"A material transport process during which the snow and ice constituting a glacier, and anything contained within it, is transported down a slope by gravitation."	"http://purl.obolibrary.org/obo/ENVO_03000012"
"hypersaline water environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by hypersaline water."	"http://purl.obolibrary.org/obo/ENVO_01001043"
"active permafrost layer"	"envoPolar"	"A layer which is composed of ground that is 1) subject to annual thawing and freezing and 2) present in areas underlain by permafrost."	"http://purl.obolibrary.org/obo/ENVO_04000009"
"mass liquid flow"	"envoPolar"	"A process whereby a volume of liquid moves due to a disequilibrium of physical forces."	"http://purl.obolibrary.org/obo/ENVO_01000981"
"carbon-bearing gas emission process"	"envoPolar"	"A carbon emission process is any environmental process which outputs a carbon-bearing gas."	"http://purl.obolibrary.org/obo/ENVO_01000742"
"mass gaseous flow"	"envoPolar"	"A process whereby a large volume of gas moves due to a disequilibrium of physical forces."	"http://purl.obolibrary.org/obo/ENVO_01000792"
"snowstorm"	"envoAtmo"	"An atmospheric storm during which intense snowfall occurs."	"http://purl.obolibrary.org/obo/ENVO_01000881"
"glacial plucking"	"envoPolar"	"Glacial plucking is an erosional process during which pieces of bedrock are cracked off due to the mechanical force of a moving glacier."	"http://purl.obolibrary.org/obo/ENVO_01000683"
"desublimation of water vapour into ice"	"envoPolar"	"A desublimation process during which water vapour is frozen into water ice."	"http://purl.obolibrary.org/obo/ENVO_03000055"
"sea ice floe"	"envoPolar"	"An ice floe which is formed from frozen sea water, and floats upon the surface of a marine water body."	"http://purl.obolibrary.org/obo/ENVO_03000066"
