?label	?exact	?broad	?narrow	?related	?subset	?uri
"1,4-dioxane contaminated sludge"						"http://purl.obolibrary.org/obo/ENVO_00002177"
"Afrotropical Ecoregion"						"http://purl.obolibrary.org/obo/ENVO_01001583"
"Aldabra Island Xeric Scrub Ecoregion"						"http://purl.obolibrary.org/obo/ENVO_01001605"
"Antarctic front"					"envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001700"
"Antarctic front"					"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01001700"
"Arctic front"					"envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001699"
"Arctic front"					"envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01001699"
"Australasia Ecoregion"						"http://purl.obolibrary.org/obo/ENVO_01001571"
"Bathymodiolus gill tissue material"						"http://purl.obolibrary.org/obo/ENVO_01001393"
"Bathymodiolus-dominated oceanic mussel bed"					"envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001390"
"Bathymodiolus-dominated oceanic mussel bed"					"envoMarine"	"http://purl.obolibrary.org/obo/ENVO_01001390"
"Bathymodiolus-dominated oceanic mussel reef"					"envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001385"
"Bathymodiolus-dominated oceanic mussel reef"					"envoMarine"	"http://purl.obolibrary.org/obo/ENVO_01001385"
"Bondon cheese environment"					"envoMeo"	"http://purl.obolibrary.org/obo/ENVO_01001180"
"Calyptra habitat"	"vampire moth habitat"					"http://purl.obolibrary.org/obo/ENVO_01001452"
"Carnarvon Xeric Shrublands Ecoregion"		"Western coast of Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001575"
"Central Ranges Xeric Shrub Ecoregion"		"Central Australia Ecoregion"				"http://purl.obolibrary.org/obo/ENVO_01001576"
"East Saharan Montane Xeric Woodland Ecoregion"	"North central Africa: Eastern Chad and small area of western Sudan"					"http://purl.obolibrary.org/obo/ENVO_01001603"
"Eritrean Coastal Desert Ecoregion"						"http://purl.obolibrary.org/obo/ENVO_01001602"
