?label	?definition	?exactSynonym	?broadSynonym	?narrowSynonym	?relatedSynonym	?subsetType	?uri
"1,4-dioxane contaminated sludge"							"http://purl.obolibrary.org/obo/ENVO_00002177"
"Afrotropical Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001583"
"Albany Thicket ecoregion"	"An ecoregion in the Eastern Cape of South Africa with vegetation characterized by sclerophyllous and succulent shrubs."						"http://purl.obolibrary.org/obo/ENVO_03605201"
"Aldabra Island Xeric Scrub Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001605"
"Antarctic front"	"A polar front between the deep, cold Antarctic air and the shallower, warmer polar air of southern latitudes on Earth."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001700"
"Arctic front"	"A polar front between the deep, cold Arctic air and the shallower, warmer polar air of northern latitudes on Earth."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001699"
"Australasia Ecoregion"							"http://purl.obolibrary.org/obo/ENVO_01001571"
"Bailey bridge"	"A bridge which is a truss bridge, pre-fabricated, and portable."						"http://purl.obolibrary.org/obo/ENVO_03501244"
"Bathymodiolus gill tissue material"							"http://purl.obolibrary.org/obo/ENVO_01001393"
"Bathymodiolus-dominated oceanic mussel bed"	"An oceanic mussel bed which has mussel communities dominated by members of the genus Bathymodiolus."					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001390"
"Bathymodiolus-dominated oceanic mussel reef"	"An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells"					"http://purl.obolibrary.org/obo/envo#envoMarine|http://purl.obolibrary.org/obo/envo#envoCmecs"	"http://purl.obolibrary.org/obo/ENVO_01001385"
