?label	?subset	?def	?cls
"marine nutricline"	"envoPolar"	"The marine nutricline describes a sharp change in the nutrient content of seawater (in relation to the gradients of the water mass surrounding it) in the marine water column."	<http://purl.obolibrary.org/obo/ENVO_01000078>
"area of open water"@en	"envoPolar"	"An area of a planet's surface which is primarily composed of water in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000666>
"isthmus"	"envoPolar"	"Narrow section of land in a body of water connecting two larger land areas."	<http://purl.obolibrary.org/obo/ENVO_00000174>
"area of lichen-dominated vegetation"@en	"envoPolar"	"An area of a planet's surface which is primarily covered by fruticose or foliose lichens and which is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000889>
"brine channel"@en	"envoPolar"	"A channel through which brine flows."	<http://purl.obolibrary.org/obo/ENVO_03000041>
"cline"	"envoPolar"	"A cline is a comparatively thin, typically horizontal layer within a fluid, in which a property of the fluid varies greatly over a relatively short vertical distance."	<http://purl.obolibrary.org/obo/ENVO_01000258>
"aerobic respiration, using ferrous ions as electron donor"	"envoPolar"	"The metabolic process in which ferrous ions (Fe2+) are oxidized to ferric ions (Fe3+) to generate energy, coupled to the reduction of carbon dioxide."	<http://purl.obolibrary.org/obo/GO_0019411>
"tropical marine coral reef biome"@en	"wwfBiome"	"A marine coral reef biome which is occurs in a region with a tropical climate."	<http://purl.obolibrary.org/obo/ENVO_01000854>
"tropical moist broadleaf forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000228>
"dust"	"envoPolar"	"Minute solid particles with diameters less than 500 micrometers. Occurs in and may be deposited from, the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_00002008>
"large lake biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_00000891>
"environmental condition"	"envoPolar"	"An environmental condition is a range of a determinate quality  or combination of qualities that are present in an environmental system."	<http://purl.obolibrary.org/obo/ENVO_01000203>
"temperate broadleaf forest biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000202>
"glacial erosion process"@en	"envoPolar"	"An erosion process during which the movement of a glacier across a terrestrial surface causes the removal of material from that surface."	<http://purl.obolibrary.org/obo/ENVO_03000006>
"hydrothermal vent"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"A fissure in the Earths's surface from which geothermally heated water issues."	<http://purl.obolibrary.org/obo/ENVO_00000215>
"aerobic respiration, using sulfur or sulfate as electron donor"	"envoPolar"	"An aerobic respiration process in which a sulfur-containing molecule (hydrogen sulfide, sulfur, sulfite, thiosulfate, and various polythionates) is oxidized."	<http://purl.obolibrary.org/obo/GO_0019414>
"atmospheric carbon dioxide"	"envoPolar"	"Atmospheric carbon dioxide is an environmental material composed of carbon dioxide in its gaseous form present in the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_01000451>
"ocean strait"@en	"envoPolar"	"An ocean strait is a strait which connects two oceans."	<http://purl.obolibrary.org/obo/ENVO_01000651>
"desert biome"	"wwfBiome"	"A desert biome is a terrestrial biome which loses more liquid water by evapotranspiration than is supplied by precipitation and includes communities adapted to these conditions."	<http://purl.obolibrary.org/obo/ENVO_01000179>
"snow mass"@en	"envoPolar"	"A mass of snow."	<http://purl.obolibrary.org/obo/ENVO_03000111>
"carbon-bearing gas emission process"@en	"envoPolar"	"A carbon emission process is any environmental process which outputs a carbon-bearing gas."	<http://purl.obolibrary.org/obo/ENVO_01000742>
"mass gaseous flow"@en	"envoPolar"	"A process whereby a large volume of gas moves due to a disequilibrium of physical forces."	<http://purl.obolibrary.org/obo/ENVO_01000792>
"glacial transport process"@en	"envoPolar"	"A material transport process during which the snow and ice constituting a glacier, and anything contained within it, is transported down a slope by gravitation."	<http://purl.obolibrary.org/obo/ENVO_03000012>
"aerobic respiration, using hydrogen as electron donor"	"envoPolar"	"The oxidation of hydrogen (H2) to water (H2O), using oxygen (O2) as the electron acceptor. A hydrogenase enzyme binds H2 and the hydrogen atoms are passed through an electron transfer chain to O2 to form water."	<http://purl.obolibrary.org/obo/GO_0019412>
"glacial plucking"@en	"envoPolar"	"Glacial plucking is an erosional process during which pieces of bedrock are cracked off due to the mechanical force of a moving glacier."	<http://purl.obolibrary.org/obo/ENVO_01000683>
"marine pelagic zone"	"envoPolar"	"An open ocean region."	<http://purl.obolibrary.org/obo/ENVO_00000208>
"sea ice floe"@en	"envoPolar"	"An ice floe which is formed from frozen sea water, and floats upon the surface of a marine water body."	<http://purl.obolibrary.org/obo/ENVO_03000066>
"cryosphere"@en	"envoPolar"	"A cryosphere is that part of a planet which is primarily composed of water is in solid form."	<http://purl.obolibrary.org/obo/ENVO_01000818>
"marine pelagic feature"	"envoPolar"	"A prominent or distinctive aspect, quality, or characteristic of environments occurring within the marine water column."	<http://purl.obolibrary.org/obo/ENVO_01000044>
"large river headwater biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_00000888>
"xeric basin biome"	"wwfBiome"	"A biome which has little permanent surface water and a low relative abundance of springs."	<http://purl.obolibrary.org/obo/ENVO_00000893>
"earthquake"@en	"environmental_hazards"	"An earthquake is a process whereby part of the surface of a planet shakes due to the passage of seismic waves through rocks. Seismic waves are produced when some form of energy stored in a planet's crust is suddenly released. Elastic strain, gravity, chemical reactions, or even the motion of massive bodies can produce earthquakes."	<http://purl.obolibrary.org/obo/ENVO_01000677>
"tidewater glacier"	"envoPolar"	"A glacier that flows into the sea."	<http://purl.obolibrary.org/obo/ENVO_00000456>
"gas emission process"@en	"envoPolar"	"A material transport process during which a portion of gaseous environmental material is transported into the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_03000092>
"alpine glacier"	"envoPolar"	"A glacier contained in the site of a mountain valley."	<http://purl.obolibrary.org/obo/ENVO_00000085>
"tundra climatic condition"	"envoPolar"	"An tundra climatic condition is a polar condition in which at least one month's average temperature  exceeds 0 degrees Celsius."	<http://purl.obolibrary.org/obo/ENVO_01000370>
"area of perennial snow"@en	"nlcd2011"	"An area of a planet's surface which is primarily composed of snow, present throughout multiple years, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000745>
"englacial stream"@en	"envoPolar"	"A stream which is primarily composed of meltwater and which flows within a glacier or ice sheet."	<http://purl.obolibrary.org/obo/ENVO_03000018>
"hailstorm"@en	"environmental_hazards"	"An atmospheric storm which intense hailfall occurs."	<http://purl.obolibrary.org/obo/ENVO_01000880>
"sludge"	<http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC>	"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes."	<http://purl.obolibrary.org/obo/ENVO_00002044>
"blizzard"@en	"environmental_hazards"	"A blizzard is a severe snowstorm during which snowfall is transported by strong winds, sustained for several hours."	<http://purl.obolibrary.org/obo/ENVO_01000903>
"brine"	"envoPolar"	"Water saturated or nearly saturated with salt (NaCl)."	<http://purl.obolibrary.org/obo/ENVO_00003044>
