ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000027	spring	BFO:0000050 some ENVO:01001311|ENVO:01001884	 some solid surface layer|surface landform	seep	http://purl.obolibrary.org/obo/ENVO_03605014|http://purl.obolibrary.org/obo/ENVO_03605018|http://purl.obolibrary.org/obo/ENVO_03605025	A surface landform which provides an egress for groundwater or steam to flow out of the ground.
ENVO:00000051	hot spring	ENVO:00000027	spring	hotspring|spring|thermal spring	http://purl.obolibrary.org/obo/ENVO_03605014|http://purl.obolibrary.org/obo/ENVO_03605018|http://purl.obolibrary.org/obo/ENVO_03605025|obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A spring through which groundwater, heated by geothermal energy, flows.
ENVO:00000144	obsolete aquatic habitat				obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A habitat that is in or on water.
ENVO:00000191	solid astronomical body part	ENVO:01000813	astronomical body part	geological feature|landform|physiographic feature		A part of an astronomical body which is primarily composed of solid material.
ENVO:00000215	hydrothermal vent	ENVO:00000027	spring	HydrothermalVents	http://purl.obolibrary.org/obo/ENVO_03605018|http://purl.obolibrary.org/obo/ENVO_03605025|obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A fissure in the Earths's surface from which geothermally heated water issues.
ENVO:00000340	particle of sand	ENVO:01003002	particle	grain of sand|granule of sand|sand granule		A particle which 1) is composed primarily of and derived from rock or mineral sources and 2) is or was part of a portion of sand.
ENVO:00000343	particle of silt	ENVO:01003002	particle	grain of silt|granule of silt		A particle which 1) is primarily composed of quartz or feldspar and 2) is or was part of a portion of silt.
ENVO:00000569	obsolete marine habitat				obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A habitat that is in or on a sea or ocean containing high concentrations of dissolved salts and other total dissolved solids (typically >35 grams dissolved salts per litre).
ENVO:00001998	soil	BFO:0000050 some ENVO:01000820|BFO:0000051 some ENVO:00002982|BFO:0000051 some ENVO:01000016|BFO:0000051 some ENVO:01000017|BFO:0000051 some ENVO:01000155|BFO:0000051 some ENVO:01000256|ENVO:00010483|RO:0000091 some ENVO:06105304	 some clay| some mineral material| some organic material| some pedosphere| some sand| some silt| some water-holding capacity of soil|environmental material	regolith	http://purl.obolibrary.org/obo/ENVO_03605015|obo:subsets/envo-basic.obo#EnvO-Lite-GSC	An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.
ENVO:00002001	waste water	ENVO:00002006|RO:0000087 some ENVO:01000665	 some waste role|liquid water		http://purl.obolibrary.org/obo/ENVO_03605019|obo:subsets/envo-basic.obo#EnvO-Lite-GSC	Water that has been adversely affected in quality by anthropogenic influence.
