ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000070	human construction	BFO:0000050 some ENVO:01000983|ENVO:01001813|RO:0002353 some ENVO:01000996	 some human-directed construction process| some technosphere|construction	constructed feature		A construction that has been assembled by deliberate human effort.
ENVO:00000340	particle of sand	ENVO:01003002	particle	grain of sand|granule of sand|sand granule		A particle which 1) is composed primarily of and derived from rock or mineral sources and 2) is or was part of a portion of sand.
ENVO:00000343	particle of silt	ENVO:01003002	particle	grain of silt|granule of silt		A particle which 1) is primarily composed of quartz or feldspar and 2) is or was part of a portion of silt.
ENVO:00001998	soil	BFO:0000050 some ENVO:01000820|BFO:0000051 some ENVO:00002982|BFO:0000051 some ENVO:01000016|BFO:0000051 some ENVO:01000017|BFO:0000051 some ENVO:01000155|BFO:0000051 some ENVO:01000256|ENVO:00010483|RO:0000091 some ENVO:06105304	 some clay| some mineral material| some organic material| some pedosphere| some sand| some silt| some water-holding capacity of soil|environmental material	regolith	obo:subsets/envo-basic.obo#EnvO-Lite-GSC	An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.
ENVO:00002006	liquid water	ENVO:01000815	liquid environmental material	water		An environmental material primarily composed of dihydrogen oxide in its liquid form.
ENVO:00002982	clay	BFO:0000051 some ENVO:01003003|ENVO:01000060	 some particle of clay|particulate environmental material			Particulate environmental material which 1) is composed primarily of clay particles, with only minor proportions of other materials, 2) demonstrates plasticity when wet, and 3) is capable of hardening when dried or fired.
ENVO:00003074	manufactured product	RO:0002353 some ENVO:01000993	 some manufacturing process	manufactured good		A material entity that has been processed by humans or their technology in any way, including intermediate products as well as final products.
ENVO:00010483	environmental material			portion of environmental material		A material entity which other material entities in an environmental system are primarily or partially composed of.
ENVO:01000016	silt	BFO:0000051 some ENVO:00000343|ENVO:01000060	 some particle of silt|particulate environmental material			Particulate environmental material which is primarily composed of silt particles.
ENVO:01000017	sand	BFO:0000051 some ENVO:00000340|ENVO:01000060	 some particle of sand|particulate environmental material			Particulate environmental material which is composed primarily of particles of sand with only minor proportions of other substances.
ENVO:01000060	particulate environmental material	BFO:0000051 some ENVO:01003002|ENVO:00010483	 some particle|environmental material	particulate matter	obo:subsets/envo-basic.obo#envoAtmo|obo:subsets/envo-basic.obo#envoPolar	An environmental material which is composed primarily of particles.
ENVO:01000155	organic material	ENVO:00010483	environmental material	biomass		Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.
ENVO:01000256	mineral material	ENVO:00010483	environmental material			A mineral material is an environmental material which is primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure.
ENVO:01000267	atmosphere	ENVO:01001678|RO:0002220 some ENVO:01000799	 some astronomical body|fluid layer			An atmosphere is a layer of gases surrounding a material body of sufficient mass that is held in place by the gravity of the body.
ENVO:01000281	layer				obo:subsets/envo-basic.obo#envoPolar	A material entity which 1) is spatially continuous, 2) is composed of material of comparable thickness, composition, and physical properties, and 3) is physically distinct from adjacent portions of environmental material.
ENVO:01000637	outer space	ENVO:00010483	environmental material	space	obo:subsets/envo-basic.obo#envoAstro	Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.
ENVO:01000638	planetary crust	ENVO:01000639	planetary structural layer	crust		A planetary crust is the outermost solid shell of a rocky planet or natural satellite, which is chemically distinct from the underlying mantle.
ENVO:01000639	planetary structural layer	BFO:0000050 some ENVO:01000800|ENVO:01000281	 some planet|layer			A planetary structural layer is laminar part of a terrestrial planet or other rocky body large enough to have differentiation by density. Planetary layers have differing physicochemical properties and composition.
ENVO:01000646	lithosphere	BFO:0000051 some ENVO:01000638|ENVO:01000639|RO:0002473 some ENVO:01000814	 some planetary crust| some solid environmental material|planetary structural layer			A lithosphere is the outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties.
ENVO:01000797	gaseous environmental material	ENVO:02000140	fluid environmental material	gas		A material entity which is composed of one or more chemical entities and has neither independent shape nor volume but tends to expand indefinitely.
ENVO:01000798	plasma	ENVO:02000140	fluid environmental material			A material entity which is composed of a volume of unbound positive and negative particles in roughly equal numbers, conducts electricity, and possesses internal magnetic fields.
ENVO:01000799	astronomical body	ENVO:01000804	astronomical object	celestial body	obo:subsets/envo-basic.obo#envoAstro	An object which is naturally occuring, bound together by gravitational or electromagnetic forces, and surrounded by space.
ENVO:01000800	planet	ENVO:01000799	astronomical body		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals.
ENVO:01000801	star	ENVO:01000799|RO:0002473 some ENVO:01000798	 some plasma|astronomical body		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	An astronomical object which is composed primarily of luminous plasma held in a spherical form by gravitational forces.
ENVO:01000802	planetary moon	ENVO:01000799	astronomical body	moon|natural satellite	obo:subsets/envo-basic.obo#envoAstro	An astronomical body which orbits a planet of comparatively greater mass.
ENVO:01000803	asteroid	ENVO:01000809	minor planet		obo:subsets/envo-basic.obo#envoAstro	
ENVO:01000804	astronomical object	BFO:0000051 some ENVO:01000799|RO:0000086 some ENVO:01001164|RO:0002219 some ENVO:01000637	 some astronomical body| some geodiversity|surrounded by some outer space	celestial object	obo:subsets/envo-basic.obo#envoAstro	An object which is composed of one or more gravitationally bound structures that are associated with a position in space.
ENVO:01000805	globular star cluster	ENVO:01000804	astronomical object		obo:subsets/envo-basic.obo#envoAstro	A group of gravitationally bound stars.
ENVO:01000806	nebula	ENVO:01000804	astronomical object		obo:subsets/envo-basic.obo#envoAstro	An interstellar cloud of dust, hydrogen, helium and other ionized gases
ENVO:01000807	galaxy	ENVO:01000804	astronomical object		obo:subsets/envo-basic.obo#envoAstro	A galaxy is a gravitationally bound system of stars, stellar remnants, interstellar gas, dust, and dark matter.
ENVO:01000808	dwarf planet	ENVO:01000809	minor planet		obo:subsets/envo-basic.obo#envoAstro	An astronomical body which is in direct orbit of a star and is massive enough for its own gravity to compress it into a shape preserved by hydrostatic equilibrium (usually a spheroid), but which shares its orbit with other bodies, such as asteroids or comets.
ENVO:01000809	minor planet	ENVO:01000799	astronomical body		obo:subsets/envo-basic.obo#envoAstro	A minor planet is an astronomical object in direct orbit around the Sun that is neither a planet nor exclusively classified as a comet. Minor planets can be dwarf planets, asteroids, trojans, centaurs, Kuiper belt objects, and other trans-Neptunian objects.
ENVO:01000813	astronomical body part	BFO:0000050 some ENVO:01000799	 some astronomical body		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	A material part of an astronomical body.
ENVO:01000814	solid environmental material	ENVO:00010483	environmental material			An environmental material which is in a solid state.
ENVO:01000815	liquid environmental material	ENVO:02000140	fluid environmental material		obo:subsets/envo-basic.obo#envoPolar	An environmental material which is in a liquid state.
ENVO:01000817	biosphere	ENVO:01000813	astronomical body part		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	An astronomical body part which includes all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact.
ENVO:01000819	hydrosphere	ENVO:01001477|RO:0002473 some ENVO:00002006	 some liquid water|liquid astronomical body part		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet.
ENVO:01000820	pedosphere	ENVO:01000813|RO:0002131 some ENVO:01000267|RO:0002131 some ENVO:01000646|RO:0002131 some ENVO:01000817|RO:0002131 some ENVO:01000819|RO:0002473 some ENVO:00001998	 some atmosphere| some biosphere| some hydrosphere| some lithosphere| some soil|astronomical body part		obo:subsets/envo-basic.obo#envoAstro	An astronomical body part which is composed of soil, subject to soil formation processes, and found on the surface of a lithosphere.
ENVO:01000821	photosphere	BFO:0000050 some ENVO:01000801|ENVO:01000813	 some star|astronomical body part		obo:subsets/envo-basic.obo#envoAstro	An astronomical body part which is composed of those parts of a star, distal from the star's core, from which light is radiated into space.
ENVO:01000952	anthropisation	ENVO:01001434	anthropogenic ecosystem conversion process	anthropization		A process during which a natural environmental system is altered by human action.
ENVO:01000958	terrestrial planet	ENVO:01000800	planet	Earth-like planet|rocky planet|telluric planet	obo:subsets/envo-basic.obo#envoAstro	A planet that is composed primarily of silicate rocks or metals.
ENVO:01000983	technosphere	ENVO:01000813|RO:0002131 some ENVO:01000817|RO:0002473 some ENVO:00000070|RO:0002473 some ENVO:00003074	 some biosphere| some human construction| some manufactured product|astronomical body part		obo:subsets/envo-basic.obo#envoAstro	A part of an astronomical body which includes, as parts, all the entities which have been constructed or manufactured by humans or their technology and which are within the gravitational sphere of influence of that body.
ENVO:01000993	manufacturing process	BFO:0000051 some ENVO:01000952	 some anthropisation			A planned process during which raw or recycled materials are transformed into products for use or sale using labour and machines, tools, chemical and biological processing, or formulation.
ENVO:01000996	human-directed construction process	BFO:0000051 some ENVO:01000952|BFO:0000051 some ENVO:03000010|BFO:0000051 some ENVO:03000043	 some anthropisation| some material transformation process| some material transport process			An process during which natural or manufactured materials and products are processed and arranged by humans or their technology into structures.
ENVO:01001023	radiation	ENVO:01001852|RO:0000057 some ENVO:00010483	 some environmental material|energy transfer process		obo:subsets/envo-basic.obo#environmental_hazards|obo:subsets/envo-basic.obo#envoAstro	A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium.
ENVO:01001024	particle radiation	ENVO:01001023	radiation		obo:subsets/envo-basic.obo#environmental_hazards|obo:subsets/envo-basic.obo#envoAstro	A radiation process during which energy is transmitted or emitted by means of fast-moving subatomic particles.
ENVO:01001025	particle beam radiation	ENVO:01001024	particle radiation		obo:subsets/envo-basic.obo#environmental_hazards|obo:subsets/envo-basic.obo#envoAstro	A particle radiation process during which subatomic particles move in the same direction.
ENVO:01001026	electromagnetic radiation	ENVO:01001023	radiation	EM radiation	obo:subsets/envo-basic.obo#environmental_hazards|obo:subsets/envo-basic.obo#envoAstro	A radiation process during which waves (or their quanta, photons) of the electromagnetic field propagate (radiate) through space carrying electromagnetic energy.
ENVO:01001027	acoustic radiation	ENVO:01001023	radiation		obo:subsets/envo-basic.obo#envoAstro	A radiation process during which mechanical waves generated by oscillations radiate through an environmental material.
ENVO:01001068	meteoroid	ENVO:01000799	astronomical body		obo:subsets/envo-basic.obo#envoAstro	An astronomical body which is composed of rocky or metallic materials and is considerably smaller than asteroids.
ENVO:01001122	gas planet	ENVO:01000800|RO:0002473 some ENVO:01001155	 some astrogeological gas|planet		obo:subsets/envo-basic.obo#envoAstro	A planet which is primarily composed of hydrogen and helium.
ENVO:01001123	dwarf gas planet	ENVO:01001122	gas planet		obo:subsets/envo-basic.obo#envoAstro	A gas planet which 1) is considerably smaller than a gas giant and 2) has a rocky core around which a thick envelope primarily composed of hydrogen, helium, and smaller proportions of volatiles.
ENVO:01001124	giant gas planet	ENVO:01001122	gas planet	gas giant	obo:subsets/envo-basic.obo#envoAstro	A gas planet which has mass and size comparable to Jupiter and Saturn.
ENVO:01001125	ice	ENVO:01000814	solid environmental material			An ice is an environmental material which is either frozen or which is maintained in a solid state by gravitational forces or pressure.
ENVO:01001126	astrogeological ice	ENVO:01001154	volatile astrogeological material	ice	obo:subsets/envo-basic.obo#envoAstro	An astrogeological volatile which is composed primarily of chemical compounds with freezing points above an approximate threshold of 100 Kelvin.
ENVO:01001127	ice giant	ENVO:01000800	planet		obo:subsets/envo-basic.obo#envoAstro	A giant planet which is primarily composed of elements heavier than hydrogen and helium, volatile chemical compounds with freezing points above about 100 Kelvin.
ENVO:01001128	mini-Neptune	ENVO:01001122	gas planet	transitional planet	obo:subsets/envo-basic.obo#envoAstro	A gas planet which has an atmosphere composed of hydrogen and helium  - probably with deep layers of ice, rock or liquid oceans (made of water, ammonia, a mixture of both, or heavier volatiles) - and a small core made of low-density volatiles.
ENVO:01001129	super-Jupiter	ENVO:01000799	astronomical body		obo:subsets/envo-basic.obo#envoAstro	An astronomical object which is more massive than the planet Jupiter.
ENVO:01001130	gravitational motion	ENVO:02500000	environmental system process		obo:subsets/envo-basic.obo#envoAstro	A process during which one or more entities move along geodesics in a region of spacetime that has been sufficiently curved towards an entity with sufficient mass and/or energy.
ENVO:01001131	hot Jupiter	ENVO:01001124	giant gas planet	epistellar jovian|pegasean planet|pegasid|roaster planet	obo:subsets/envo-basic.obo#envoAstro	A giant gas planet which has a jovian-scale mass (0.36–11.8 Jupiter masses), a short orbital period (1.3–111 Earth days), and which is close to the star it orbits, resulting in extreme and exotic atmospheric properties.
ENVO:01001132	hot Neptune	ENVO:01001122	gas planet	hoptune	obo:subsets/envo-basic.obo#envoAstro	A gas planet which has a mass similar to that of Neptune or Uranus and which closely orbits its star (normally at a distance less than 1 Astronomical Unit).
ENVO:01001133	mega-Earth	ENVO:01000958	terrestrial planet		obo:subsets/envo-basic.obo#envoAstro	A terrestrial exoplanet which is at least ten times the mass of Earth.
ENVO:01001134	super-Earth	ENVO:01000958	terrestrial planet		obo:subsets/envo-basic.obo#envoAstro	A terrestrial planet which has a mass higher than Earth's, but substantially below the masses of Uranus and Neptune (15 and 17 Earth masses, respectively).
ENVO:01001135	desert planet	ENVO:01000958	terrestrial planet	dry planet	obo:subsets/envo-basic.obo#envoAstro	A terrestrial planet which has a surface dominated by hot deserts.
ENVO:01001136	ocean planet	ENVO:01000800	planet	aquaplanet|panthalassic planet|water world	obo:subsets/envo-basic.obo#envoAstro	A planet which has a surface layer that nearly completely or completely covered by water, and which has a substantial portion of its mass composed of water.
ENVO:01001137	ice planet	ENVO:01000800	planet	cryoplanet	obo:subsets/envo-basic.obo#envoAstro	A planet which has a surface layer that nearly completely or completely covered by ice, and which has a substantial portion of its mass composed of ice.
ENVO:01001138	carbon dioxide ice			dry ice	obo:subsets/envo-basic.obo#envoAstro	Ice which is primarily composed of carbon dioxide.
ENVO:01001139	methane ice	ENVO:01001125	ice		obo:subsets/envo-basic.obo#envoAstro	Ice which is primarily composed of methane.
ENVO:01001140	ammonia ice				obo:subsets/envo-basic.obo#envoAstro	Ice which is primarily composed of ammonia.
ENVO:01001141	carbon monoxide ice				obo:subsets/envo-basic.obo#envoAstro	Ice which is primarily composed of carbon monoxide.
ENVO:01001142	iron planet	ENVO:01000958	terrestrial planet	cannonball planet	obo:subsets/envo-basic.obo#envoAstro	A planet which in primarily composed of an iron-rich core with little to no mantle
ENVO:01001143	lava planet	ENVO:01000800	planet		obo:subsets/envo-basic.obo#envoAstro	A planet which has a surface layer that nearly completely or completely covered by lava, and which has a substantial portion of its mass composed of lava.
ENVO:01001144	sub-Earth	ENVO:01000958	terrestrial planet		obo:subsets/envo-basic.obo#envoAstro	A terrestrial planet which has a mass smaller than Earth's, such that 1) it lacks a magnetic field strong enough to shield its atmosphere from erosion by stellar wind and 2) it has comparatively short periods of geological activity unless it is subject to gravitational tidal forces from a much more massive object.
ENVO:01001145	chthonian planet	ENVO:01000800	planet	cthonian planet	obo:subsets/envo-basic.obo#envoAstro	A planet which is formed as a result of a gas giant's hydrogen and helium atmosphere, as well as its outer layers, being stripped away by a stellar wind through photoevaporation and hydrodynamic escape.
ENVO:01001146	photoevaporation	BFO:0000051 some ENVO:01001026|ENVO:03000010|RO:0000057 some ENVO:01000797	 some electromagnetic radiation| some gaseous environmental material|material transport process		obo:subsets/envo-basic.obo#envoAstro	A process during which energetic radiation ionises gas and causes it to disperse away from the ionising source.
ENVO:01001147	helium planet	ENVO:01001122	gas planet		obo:subsets/envo-basic.obo#envoAstro	A gas planet which has an atmosphere composed primarily of helium.
ENVO:01001148	planetesimal	ENVO:01000799	astronomical body		obo:subsets/envo-basic.obo#envoAstro	An astronomical body which 1) is held together by its own gravity, 2)  can attract other, similar bodies through mutual gravitational influence, and 3) has orbital dynamics that are not significantly affected by gas drag.
ENVO:01001149	protoplanet	ENVO:01000799	astronomical body	planetary embryo	obo:subsets/envo-basic.obo#envoAstro	An astronomical object that forms within a protoplanetary disc when planetesimals and other solid debris aggregate and, due to gravitational forces,  fuse and initiate internal melting to produce a differentiated interior.
ENVO:01001150	protoplanetary disk	BFO:0000051 some ENVO:01000799|ENVO:01000804|RO:0002219 some ENVO:01000637	 some astronomical body|astronomical object|surrounded by some outer space		obo:subsets/envo-basic.obo#envoAstro	An astronomical object which is composed of dense gas and dust rotating around a young newly formed star, a T Tauri star, or a Herbig Ae/Be star in a disk-shaped configuration.
ENVO:01001151	proplyd	BFO:0000051 some ENVO:01000799|ENVO:01001150|RO:0002219 some ENVO:01000637	 some astronomical body|protoplanetary disk|surrounded by some outer space	ionized protoplanetary disk	obo:subsets/envo-basic.obo#envoAstro	A protoplanetary disk which is externally illuminated and undergoing photoevaporation.
ENVO:01001152	mesoplanet	ENVO:01000800	planet		obo:subsets/envo-basic.obo#envoAstro	A planet which is smaller than Mercury but larger than Ceres.
ENVO:01001153	circumbinary planet	ENVO:01000800	planet		obo:subsets/envo-basic.obo#envoAstro	A planet which orbits two stars.
ENVO:01001154	volatile astrogeological material	ENVO:00010483	environmental material	volatile	obo:subsets/envo-basic.obo#envoAstro	A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet.
ENVO:01001155	astrogeological gas	ENVO:01001154	volatile astrogeological material	gas	obo:subsets/envo-basic.obo#envoAstro	An astrogeological volatile which is composed primarily of chemical compounds with boiling points around those of hydrogen and helium.
ENVO:01001156	refractory astrogeological material	ENVO:00010483	environmental material	refractory material	obo:subsets/envo-basic.obo#envoAstro	A material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 Kelvin and which are part of the crust or atmosphere of a moon or planet.
ENVO:01001157	atmospheric escape	BFO:0000051 some ENVO:01001026|ENVO:03000010|RO:0000057 some ENVO:01000797	 some electromagnetic radiation| some gaseous environmental material|material transport process		obo:subsets/envo-basic.obo#envoAstro	A process during which gases that constitute a planetary atmosphere escape that planet's gravitational field and move away into outer space.
ENVO:01001158	hydrodynamic escape	BFO:0000051 some ENVO:01001026|ENVO:01001157|RO:0000057 some ENVO:01000797	 some electromagnetic radiation| some gaseous environmental material|atmospheric escape		obo:subsets/envo-basic.obo#envoAstro	An atmospheric escape process during which atoms that are parts of a planetary atmosphere escape into outer space through numerous collisions with lighter atoms in that atmosphere.
ENVO:01001164	geodiversity					A quality which inheres in a astronomical body or astronomical body part by virtue of the variation in its material composition, participation in geological processes, and the variation in is land- and hydroforms.
ENVO:01001211	stellar radiation	ENVO:01001026	electromagnetic radiation	solar radiation	obo:subsets/envo-basic.obo#environmental_hazards|obo:subsets/envo-basic.obo#envoAstro	An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a star.
ENVO:01001212	microwave stellar radiation			microwave solar radiation	obo:subsets/envo-basic.obo#envoAstro	A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths and frequencies which travel exclusively in a line-of-sight fashion and which may produce molecular rotation and torsion on contact with matter.
ENVO:01001213	radio wave stellar radiation			radio wave solar radiation	obo:subsets/envo-basic.obo#envoAstro	A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths ranging from millimetre to kilometer scales.
ENVO:01001214	infrared stellar radiation			IR stellar radiation|infra-red stellar radiation|infrared radiation|infrared solar radiation	obo:subsets/envo-basic.obo#envoAstro	A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star when molecules change their rotational-vibrational movements, usually at wavelengths between 760 nm and 1 mm.
ENVO:01001215	visible spectrum stellar radiation			optical stellar radiation|visible spectrum solar radiation	obo:subsets/envo-basic.obo#envoAstro	A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 380 nm and 760 nm.
