ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000191	solid astronomical body part	ENVO:01000813	astronomical body part	geological feature|landform|physiographic feature		A part of an astronomical body which is primarily composed of solid material.
ENVO:00000549	container of an intermittent water body	ENVO:01001884	surface landform	intermittent body of water|intermittent water body		A depression which is is periodically filled with water when water supply exceeds evapotranspiration and bed seepage.
ENVO:00003074	manufactured product	RO:0002353 some ENVO:01000993	 some manufacturing process	manufactured good		A material entity that has been processed by humans or their technology in any way, including intermediate products as well as final products.
ENVO:00010483	environmental material			portion of environmental material		A material entity which other material entities in an environmental system are primarily or partially composed of.
ENVO:01000637	outer space	ENVO:00010483	environmental material	space	obo:subsets/envo-basic.obo#envoAstro	Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.
ENVO:01000799	astronomical body	ENVO:01000804	astronomical object	celestial body	obo:subsets/envo-basic.obo#envoAstro	An object which is naturally occuring, bound together by gravitational or electromagnetic forces, and surrounded by space.
ENVO:01000804	astronomical object	BFO:0000051 some ENVO:01000799|RO:0000086 some ENVO:01001164|RO:0002219 some ENVO:01000637	 some astronomical body| some geodiversity|surrounded by some outer space	celestial object	obo:subsets/envo-basic.obo#envoAstro	An object which is composed of one or more gravitationally bound structures that are associated with a position in space.
ENVO:01000813	astronomical body part	BFO:0000050 some ENVO:01000799	 some astronomical body		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	A material part of an astronomical body.
ENVO:01000952	anthropisation	ENVO:01001434	anthropogenic ecosystem conversion process	anthropization		A process during which a natural environmental system is altered by human action.
ENVO:01000975	animal trap	ENVO:00003074	manufactured product		obo:subsets/envo-basic.obo#envoCesab	A manufactured product which is designed to catch and hold animals.
ENVO:01000976	pitfall trap	ENVO:01000975	animal trap		obo:subsets/envo-basic.obo#envoCesab	An animal trap which consists of a container set flush with the ground such that animals moving along the ground may fall in and be available for examination or collection.
ENVO:01000977	dry pitfall trap	ENVO:01000976	pitfall trap		obo:subsets/envo-basic.obo#envoCesab	A pitfall trap in which a glass, plastic, or metal container devoid of accumulations of any liquid is used to contain any animal that falls inside.
ENVO:01000978	wet pitfall trap	ENVO:01000976	pitfall trap		obo:subsets/envo-basic.obo#envoCesab	A pitfall trap in which the container used to hold trapped animals is filled with a liquid solution formulated to hold, kill, and preserve any animal or animals which falls within it.
ENVO:01000979	channel of an intermittent river	ENVO:01000980	channel of an intermittent stream	ephemeral river|intermittent river|temporary river	obo:subsets/envo-basic.obo#envoCesab	A channel of an intermittent stream which contains a river when water supply exceeds evapotranspiration and bed seepage.
ENVO:01000980	channel of an intermittent stream	ENVO:00000549	container of an intermittent water body	intermittent stream		A channel through which a directional flow of water periodically occurs, ceasing when bed seepage or evapotranspiration exceed the available water supply.
ENVO:01000993	manufacturing process	BFO:0000051 some ENVO:01000952	 some anthropisation			A planned process during which raw or recycled materials are transformed into products for use or sale using labour and machines, tools, chemical and biological processing, or formulation.
ENVO:01001164	geodiversity					A quality which inheres in a astronomical body or astronomical body part by virtue of the variation in its material composition, participation in geological processes, and the variation in is land- and hydroforms.
ENVO:01001434	anthropogenic ecosystem conversion process	ENVO:02500027	anthropogenic environmental process			A process during which an ecosystem - natural or anthropised - is changed by the actions of humans.
ENVO:01001884	surface landform	ENVO:01001886	landform	geographic feature		A landform which occurs on the surface of an astronomical body.
ENVO:01001886	landform	ENVO:00000191	solid astronomical body part			A solid astronomical body part which has been formed from and is composed primarily of the matter of that astronomical body.
ENVO:02500000	environmental system process					A process in which includes the components of an environmental system as participants.
ENVO:02500027	anthropogenic environmental process	ENVO:02500000	environmental system process			An environmental process which is driven by the action of humans.
