ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000340	particle of sand	ENVO:01003002	particle	grain of sand|granule of sand|sand granule		A particle which 1) is composed primarily of and derived from rock or mineral sources and 2) is or was part of a portion of sand.
ENVO:00000343	particle of silt	ENVO:01003002	particle	grain of silt|granule of silt		A particle which 1) is primarily composed of quartz or feldspar and 2) is or was part of a portion of silt.
ENVO:00001998	soil	BFO:0000050 some ENVO:01000820|BFO:0000051 some ENVO:00002982|BFO:0000051 some ENVO:01000016|BFO:0000051 some ENVO:01000017|BFO:0000051 some ENVO:01000155|BFO:0000051 some ENVO:01000256|ENVO:00010483|RO:0000091 some ENVO:06105304	 some clay| some mineral material| some organic material| some pedosphere| some sand| some silt| some water-holding capacity of soil|environmental material	regolith	obo:subsets/envo-basic.obo#EnvO-Lite-GSC	An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.
ENVO:00002006	liquid water	ENVO:01000815	liquid environmental material	water		An environmental material primarily composed of dihydrogen oxide in its liquid form.
ENVO:00002007	sediment	ENVO:01000060	particulate environmental material		obo:subsets/envo-basic.obo#EnvO-Lite-GSC|obo:subsets/envo-basic.obo#envoPolar	Particulate environmental material which is formed as a result of the transport and deposition of particles by flowing liquid.
ENVO:00002010	saline water	ENVO:00002006	liquid water	salt water		Water which contains a significant concentration of dissolved salts.
ENVO:00002011	fresh water	ENVO:00002006	liquid water	freshwater|sweet water	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoPolar	Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.
ENVO:00002982	clay	BFO:0000051 some ENVO:01003003|ENVO:01000060	 some particle of clay|particulate environmental material			Particulate environmental material which 1) is composed primarily of clay particles, with only minor proportions of other materials, 2) demonstrates plasticity when wet, and 3) is capable of hardening when dried or fired.
ENVO:00005791	sterile water	ENVO:00002006	liquid water			Sterile water is water which does not contain lliving organisms.
ENVO:00005801	rhizosphere	BFO:0000050 some ENVO:00001998|ENVO:01001110	 some soil|ecosystem			The narrow region of soil that is directly influenced by root secretions and associated soil microorganisms.
ENVO:00010483	environmental material			portion of environmental material		A material entity which other material entities in an environmental system are primarily or partially composed of.
ENVO:01000016	silt	BFO:0000051 some ENVO:00000343|ENVO:01000060	 some particle of silt|particulate environmental material			Particulate environmental material which is primarily composed of silt particles.
ENVO:01000017	sand	BFO:0000051 some ENVO:00000340|ENVO:01000060	 some particle of sand|particulate environmental material			Particulate environmental material which is composed primarily of particles of sand with only minor proportions of other substances.
ENVO:01000060	particulate environmental material	BFO:0000051 some ENVO:01003002|ENVO:00010483	 some particle|environmental material	particulate matter	obo:subsets/envo-basic.obo#envoAtmo|obo:subsets/envo-basic.obo#envoPolar	An environmental material which is composed primarily of particles.
ENVO:01000155	organic material	ENVO:00010483	environmental material	biomass		Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.
ENVO:01000254	environmental system			environment		A system which has the disposition to environ one or more material entities.
ENVO:01000256	mineral material	ENVO:00010483	environmental material			A mineral material is an environmental material which is primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure.
ENVO:01000267	atmosphere	ENVO:01001678|RO:0002220 some ENVO:01000799	 some astronomical body|fluid layer			An atmosphere is a layer of gases surrounding a material body of sufficient mass that is held in place by the gravity of the body.
ENVO:01000281	layer				obo:subsets/envo-basic.obo#envoPolar	A material entity which 1) is spatially continuous, 2) is composed of material of comparable thickness, composition, and physical properties, and 3) is physically distinct from adjacent portions of environmental material.
ENVO:01000306	freshwater environment	ENVO:01000317	aquatic environment	Water (non-saline)|fresh water environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics|obo:subsets/envo-basic.obo#envoPolar	An aquatic environment which is determined by freshwater.
ENVO:01000307	saline water environment	ENVO:01000317	aquatic environment	Water (saline)	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics|obo:subsets/envo-basic.obo#envoPolar	An environmental system which has its properties and dynamics determined by saline water.
ENVO:01000317	aquatic environment	ENVO:01000254	environmental system			An environment whose dynamics are strongly influenced by water.
ENVO:01000637	outer space	ENVO:00010483	environmental material	space	obo:subsets/envo-basic.obo#envoAstro	Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.
ENVO:01000638	planetary crust	ENVO:01000639	planetary structural layer	crust		A planetary crust is the outermost solid shell of a rocky planet or natural satellite, which is chemically distinct from the underlying mantle.
ENVO:01000639	planetary structural layer	BFO:0000050 some ENVO:01000800|ENVO:01000281	 some planet|layer			A planetary structural layer is laminar part of a terrestrial planet or other rocky body large enough to have differentiation by density. Planetary layers have differing physicochemical properties and composition.
ENVO:01000646	lithosphere	BFO:0000051 some ENVO:01000638|ENVO:01000639|RO:0002473 some ENVO:01000814	 some planetary crust| some solid environmental material|planetary structural layer			A lithosphere is the outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties.
ENVO:01000799	astronomical body	ENVO:01000804	astronomical object	celestial body	obo:subsets/envo-basic.obo#envoAstro	An object which is naturally occuring, bound together by gravitational or electromagnetic forces, and surrounded by space.
ENVO:01000800	planet	ENVO:01000799	astronomical body		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals.
ENVO:01000804	astronomical object	BFO:0000051 some ENVO:01000799|RO:0000086 some ENVO:01001164|RO:0002219 some ENVO:01000637	 some astronomical body| some geodiversity|surrounded by some outer space	celestial object	obo:subsets/envo-basic.obo#envoAstro	An object which is composed of one or more gravitationally bound structures that are associated with a position in space.
ENVO:01000813	astronomical body part	BFO:0000050 some ENVO:01000799	 some astronomical body		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	A material part of an astronomical body.
ENVO:01000814	solid environmental material	ENVO:00010483	environmental material			An environmental material which is in a solid state.
ENVO:01000815	liquid environmental material	ENVO:02000140	fluid environmental material		obo:subsets/envo-basic.obo#envoPolar	An environmental material which is in a liquid state.
ENVO:01000817	biosphere	ENVO:01000813	astronomical body part		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	An astronomical body part which includes all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact.
ENVO:01000819	hydrosphere	ENVO:01001477|RO:0002473 some ENVO:00002006	 some liquid water|liquid astronomical body part		obo:subsets/envo-basic.obo#envoAstro|obo:subsets/envo-basic.obo#envoPolar	An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet.
ENVO:01000820	pedosphere	ENVO:01000813|RO:0002131 some ENVO:01000267|RO:0002131 some ENVO:01000646|RO:0002131 some ENVO:01000817|RO:0002131 some ENVO:01000819|RO:0002473 some ENVO:00001998	 some atmosphere| some biosphere| some hydrosphere| some lithosphere| some soil|astronomical body part		obo:subsets/envo-basic.obo#envoAstro	An astronomical body part which is composed of soil, subject to soil formation processes, and found on the surface of a lithosphere.
ENVO:01000997	environmental system determined by a quality	ENVO:01000254	environmental system			An environmental system which is determined by materials bearing roughly homogeneous qualities.
ENVO:01000999	rhizosphere environment	ENVO:01000254|RO:0002131 some ENVO:00005801|RO:0002131 some ENVO:01001001	 some plant-associated environment| some rhizosphere|environmental system	Plant rhizosphere	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	An environmental system determined by the presence of a plant rhizosphere.
ENVO:01001000	environmental system determined by an organism	ENVO:01000254	environmental system	host-associated environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	An environmental system which is determined by a living organism.
ENVO:01001001	plant-associated environment			Plant|Viridiplantae-associated environment|plant environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	An environmental system determined by a green plant.
ENVO:01001002	animal-associated environment			Animal|Metazoan-associated environment|animal environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoMeo|obo:subsets/envo-basic.obo#envoOmics	An environmental system determined by an animal.
ENVO:01001003	non-saline environment	ENVO:01000997	environmental system determined by a quality	Non-saline	obo:subsets/envo-basic.obo#envoEmpo	
ENVO:01001028	sediment permeated by freshwater	ENVO:00002007|RO:0002219 some ENVO:00002011	sediment|surrounded by some fresh water		obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	Sediment which has its porespace filled by water which has very low levels of sodium chloride and/or other salts.
ENVO:01001029	fecal environment	ENVO:01000254	environmental system	Animal distal gut	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoMeo|obo:subsets/envo-basic.obo#envoOmics	An environmental system which has its properties and dynamics determined by feces.
ENVO:01001030	environment determined by a metazoan secretion	ENVO:01000254	environmental system	Animal secretion	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoMeo|obo:subsets/envo-basic.obo#envoOmics	An environmental system which has its properties and dynamics determined by a bodily secretion of a metazoan.
ENVO:01001031	environment determined by a plant substance	ENVO:01000254	environmental system	Plant secretion	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoMeo|obo:subsets/envo-basic.obo#envoOmics	An environmental system which has its properties and dynamics determined by a substance produced by a plant.
ENVO:01001032	environment determined by a biofilm on a plant surface			Plant surface	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoMeo|obo:subsets/envo-basic.obo#envoOmics	An environmental system which has its properties and dynamics determined by a biofilm on the surface of a plant.
