ID	label	definition
ENVO:00002006	liquid water	An environmental material primarily composed of dihydrogen oxide in its liquid form.
ENVO:00002007	sediment	Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid.
ENVO:00002010	saline water	Water which contains a significant concentration of dissolved salts.
ENVO:00002011	fresh water	Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.
ENVO:00005791	sterile water	Sterile water is water which does not contain lliving organisms.
ENVO:00005801	rhizosphere	The narrow region of soil that is directly influenced by root secretions and associated soil microorganisms.
ENVO:00010483	environmental material	A portion of environmental material is a fiat object part which forms the medium or part of the medium of an environmental system.
ENVO:01000155	organic material	Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.
ENVO:01000254	environmental system	A system which has the disposition to environ one or more material entities.
ENVO:01000306	freshwater environment	An aquatic environment which is determined by freshwater.
ENVO:01000307	saline water environment	An environmental system which has its properties and dynamics determined by saline water.
ENVO:01000317	aquatic environment	An environment whose dynamics are strongly influenced by water.
ENVO:01000408	environmental zone	A site which has its extent determined by the presence or influence of one or more components of an environmental system or the processes occurring therein.
ENVO:01000815	liquid environmental material	An environmental material which is in a liquid state.
ENVO:01000999	rhizosphere environment	An environmental system determined by the presence of a plant rhizosphere.
ENVO:01001000	environmental system determined by an organism	An environmental system which is determined by a living organism.
ENVO:01001001	plant-associated environment	An environmental system determined by a green plant.
ENVO:01001002	animal-associated environment	An environmental system determined by an animal.
ENVO:01001028	sediment permeated by freshwater	Sediment which has its porespace filled by water which has very low levels of sodium chloride and/or other salts.
ENVO:01001029	fecal environment	An environmental system which has its properties and dynamics determined by feces.
ENVO:01001030	environment determined by a metazoan secretion	An environmental system which has its properties and dynamics determined by a bodily secretion of a metazoan.
ENVO:01001031	environment determined by a plant substance	An environmental system which has its properties and dynamics determined by a substance produced by a plant.
ENVO:01001032	environment determined by a biofilm on a plant surface	An environmental system which has its properties and dynamics determined by a biofilm on the surface of a plant.
ENVO:01001033	digestive tract environment	An environmental system which has its properties and dynamics determined by a digestive tract.
ENVO:01001034	environment determined by a biofilm on an animal surface	An environmental system which has its properties and dynamics determined by a biofilm on the surface of a animal.
ENVO:01001035	environment determined by a biofilm on a fungal surface	An environmental system which has its properties and dynamics determined by a biofilm on the surface of a fungus.
ENVO:01001036	sediment permeated by saline water	Sediment which has its porespace filled by water with increased levels of sodium chloride and other salts.
ENVO:01001041	fungi-associated environment	An environmental system determined by a fungal structure.
ENVO:01001042	sterile water environment	An environmental system which has its properties and dynamics determined by sterile water.
ENVO:01001043	hypersaline water environment	An environmental system which has its properties and dynamics determined by hypersaline water.
ENVO:01001044	soil environment	An environmental system which has its properties and dynamics determined by soil.
ENVO:01001046	planetary subsurface environment	An environmental system which has its properties and dynamics determined by the subsurface zone of a planet.
ENVO:01001047	non-saline planetary subsurface environment	An environmental system which has its properties and dynamics determined by those parts of a planetary subsurface zone which are not saline.
ENVO:01001048	sediment environment	An environmental system which has its properties and dynamics determined by sediment.
ENVO:01001049	non-saline sediment environment	An environmental system which has its properties and dynamics determined by sediment permeated by non-saline water.
ENVO:01001050	saline sediment environment	An environmental system which has its properties and dynamics determined by sediment permeated by saline water.
ENVO:01001051	environment determined by a biofilm on a non-saline surface	An environmental system which has its properties and dynamics determined by a biofilm on a surface which is exposed to non-saline materials.
ENVO:01001052	aerosol environment	An environmental system which has its properties and dynamics determined by an aerosol.
ENVO:01001053	saline aerosol environment	An environmental system which has its properties and dynamics determined by a saline aerosol.
ENVO:01001054	non-saline aerosol environment	An environmental system which has its properties and dynamics determined by an aerosol with a low concentration of dissolved solutes.
ENVO:01001055	environment associated with an animal part or small animal	An environmental system determined by part of a living or dead animal, or a whole small animal.
ENVO:01001056	environment determined by a biofilm on a saline surface	An environmental system which has its properties and dynamics determined by a biofilm on a surface which is exposed to saline materials.
ENVO:01001057	environment associated with a plant part or small plant	An environmental system determined by part of a living or dead plant, or a whole small plant.
ENVO:01001058	environment associated with a fungal tissue	An environmental system determined by part of a living or dead fungus.
ENVO:01001059	mock community culture	A cell culture which is composed of a microbial community of known composition.
ENVO:01001060	single strain cell culture	A cell culture which is composed of a single population of bacterial or archaeal cells.
ENVO:01001176	environment associated with an aquatic invertebrate	An environment which has its properties and composition largely determined by the presence of a metazoan which lacks a vetebral column and which has a habitat that is found in an aquatic environmental system.
ENVO:02000008	cell culture	A cell culture is a growth of cells in vitro in an artificial medium for experimental research.
ENVO:02000140	fluid environmental material	A liquid or a gas.
ENVO:2100000	anatomical entity environment	An environment which is determined by an anatomical entity.
