ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000000	geographic feature	ENVO:01000813	astronomical body part	macroscopic spatial feature	obo:subsets/envo-basic.obo#envoPolar	An astrononmical body part which delimited by physical discontinuities with its surroundings.
ENVO:00000012	hydrographic feature	ENVO:00000000|RO:0002507 some ENVO:00000063	 some water body|geographic feature	fluvial feature	obo:subsets/envo-basic.obo#envoPolar	A geographical feature associated with water.
ENVO:00000015	ocean	ENVO:00001999|RO:0002473 some ENVO:00002149	 some sea water|marine water body	ocean region	obo:subsets/envo-basic.obo#envoMarine|obo:subsets/envo-basic.obo#envoPolar	A marine water body which is constitutes the majority of an astronomical body's hydrosphere.
ENVO:00000016	sea	BFO:0000050 some ENVO:01000819|ENVO:00001999|RO:0002473 some ENVO:00002149	 some hydrosphere| some sea water|marine water body	channel|closed sea|marginal sea|open sea|open sound|open water	obo:subsets/envo-basic.obo#envoMarine|obo:subsets/envo-basic.obo#envoPolar	A large expanse of saline water usually connected with an ocean.
ENVO:00000020	lake	BFO:0000050 some ENVO:01000819|ENVO:01000617|ENVO:01001307 some ENVO:01001782|RO:0001025 some ENVO:00000309	 some depressed landform| some hydrosphere|lentic water body|partially_surrounded_by some landmass	broad|catch basin|llyn|loch|lochan|lough|mere|mortlake|open water|pasteuer lake|tarn	obo:subsets/envo-basic.obo#envoPolar	A body of water or other liquid of considerable size contained in a depression on a landmass.
ENVO:00000021	freshwater lake	ENVO:00000020|RO:0002473 some ENVO:00002011	 some fresh water|lake	FreshwaterLake	obo:subsets/envo-basic.obo#envoPolar	A lake of whose water contains low concentrations of salts.
ENVO:00000023	stream	ENVO:00000029|RO:0002150 some ENVO:01000650	 some stream channel|watercourse	Creek|beck|braided stream|brook|brook|burn (hydrographic)|creek|creek|creek|fork (hydrographic|lode|millstream|rivulet|stream bend|streamlet|streams|watercourse|watercourse		A watercourse which is linear and flows across the solid portion of a planetary surface.
ENVO:00000029	watercourse	ENVO:01000618|RO:0002150 some ENVO:00000395	 some channel of a watercourse|lotic water body	awawa|barranca|beck|branch|brook|course|culvert|draw|dredged channel|fork|gulch|gully|gut|gut|gutter|kill|lode|moat|narrows|narrows|narrows|narrows (hydrographic)|overflow channel|passage|passage|pup|race|ravine|reach|reach|reach|rill|rivulet|run|run|runnel|seachannel|seaway|spillway|spillway|stream|tideway|wash|water gap		A flowing body of water.
ENVO:00000039	fjord	ENVO:00000137|RO:0002220 some ENVO:00002000|RO:0002354 some ENVO:03000006	 some glacial erosion process| some slope|coastal inlet		obo:subsets/envo-basic.obo#envoPolar	A long and narrow sea inlet with high steeply sloped walled sides. A fjord is a landform created during a period of glaciation.
ENVO:00000044	peatland	ENVO:01001209|RO:0002473 some ENVO:00005774	 some peat soil|wetland ecosystem	Peatland|bog|bog|bog|mire|morass|muskeg|peat bog|wetland|wetland	obo:subsets/envo-basic.obo#envoPolar	A wetland ecosystem which accumulates acidic peat, a deposit of dead plant material.
