ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:01000622	vaporisation	ENVO:03000043	material transformation process	vaporization		Vaporisation of an element or compound is process whereby that element or compound undergoes a phase transition from the liquid to vapor.
ENVO:01000623	boiling	ENVO:01000622	vaporisation			Boiling is a form of vaporisation which occurs when a liquid is heated to a temperature at which the vapor pressure of the liquid is equal to the pressure exerted on the liquid by the surrounding environmental pressure.
ENVO:01000624	hydrological condensation process	ENVO:01000724|ENVO:02500031	condensation process|hydrological process	condensation	envoAtmo|envoPolar	Hydrological condensation is a process in which atmospheric water vapour undergoes a phase transition from the gas phase to the liquid phase.
ENVO:01000629	climate change	ENVO:02500000	environmental system process		envoPolar	The long-term fluctuations in temperature, precipitation, wind, and all other aspects of the Earth's climate. External processes, such as solar-irradiance variations, variations of the Earth's orbital parameters (eccentricity, precession, and inclination), lithosphere motions, and volcanic activity, are factors in climatic variation. Internal variations of the climate system, e.g., changes in the abundance of greenhouse gases, also may produce fluctuations of sufficient magnitude and variability to explain observed climate change through the feedback processes interrelating the components of the climate system.
ENVO:01000630	acidification of an aquatic environment	ENVO:02500000	environmental system process			Acidification of an aquatic environment is a process whereby the pH of an aquatic environment, biome, or water body is lowered.
ENVO:01000631	ocean acidification	ENVO:01000630	acidification of an aquatic environment		envoPolar	Ocean acidification is a process during which the pH of a sea or ocean is lowered.
ENVO:01000633	ecosystem-wide aerobic respiration	ENVO:02500008|ENVO:02500031	ecosystem-wide respiration|hydrological process		envoPolar	A process which consists of all aerobic respiration processes instantiated in an ecosystem.
ENVO:01000634	volcanic eruption	ENVO:02500031|ENVO:03000010	hydrological process|material transport process		environmental_hazards	A volcanic eruption is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure.
ENVO:01000655	explosive eruption	ENVO:01000634	volcanic eruption		environmental_hazards	An explosive eruption is a volcanic process in which pressurised magma is violently expelled and froths into volcanic ash. Explosive eruptions can eject a cloud of rocks, dust, gas, and pyroclastic material  which may then collapse, creating a pyroclastic flow of hot volcanic matter.
ENVO:01000656	effusive eruption	ENVO:01000634	volcanic eruption		environmental_hazards	An effusive eruption is a volcanic eruption during which lava flows onto the ground.
ENVO:01000657	igneous intrusion process	ENVO:01000738	rock-precursor intrusion process			A process whereby rising magma cools and solidifies without reaching the surface. Instead, the cooled and solidified igneous mass crystallises within the crust to form an igneous intrusion.
ENVO:01000677	earthquake	ENVO:03000010	material transport process	quake|temblor|tremor	environmental_hazards	An earthquake is a process during which energy is released in an astronomical body's crust, causing the displacement of crustal parts and the generation of seismic waves.
ENVO:01000678	tectonic earthquake	ENVO:01000677	earthquake		environmental_hazards	An earthquake caused by the sudden release of energy accumulated in an astronomical body's crust, as the elastic strain placed on constituent rock masses causes them to fracture.
ENVO:01000679	megathrust earthquake	ENVO:01000678	tectonic earthquake		environmental_hazards	A megathrust earthquake is a tectonic earthquake which occurs at subduction zones at destructive plate boundaries (convergent boundaries). These interplate earthquakes are the planet's most powerful, with moment magnitudes that can exceed 9.0.
ENVO:01000682	glacial abrasion	ENVO:03000006	glacial erosion process	abrasion|glacial scouring|scouring	envoPolar	A glacial abrasion process is an erosional process during which debris in the basal ice scrapes along the bed, polishing and gouging the underlying rocks, similar to sandpaper on wood.
ENVO:01000683	glacial plucking	ENVO:03000006	glacial erosion process	glacial quarrying|quarrying	envoPolar	Glacial plucking is an erosional process during which pieces of bedrock are cracked off due to the mechanical force of a moving glacier.
ENVO:01000684	glacial ice thrusting	ENVO:03000006	glacial erosion process	ice thrusting	envoPolar	Glacial ice thrusting is an erosional process during which a moving glacier which has frozen to its bed surges forward and moves large sheets of sediment frozen to the glacial mass.
ENVO:01000689	tsunami	ENVO:01000981	mass liquid flow	seismic sea wave|tidal wave	environmental_hazards	A tsunami is a process during which a series of waves is generated in a water body, typically an ocean or large lake, by the displacement of a large volume of water. Earthquakes, volcanic eruptions and other underwater explosions (including detonations of underwater nuclear devices), landslides, glacier calvings, meteorite impacts and other disturbances above or below water all have the potential to generate a tsunami.
ENVO:01000690	mass wasting	ENVO:03000010	material transport process	mass movement|slope movement	environmental_hazards|envoPolar	Mass wasting is the geomorphic process by which solid environmental material such as soil, sand, regolith, and/or rock move downslope typically as a mass, largely under the force of gravity, but frequently affected by water and water content as in submarine environments and mudslides.
ENVO:01000691	avalanche	ENVO:01000696	mass wasting flow	snowslide|snowslip	environmental_hazards|envoPolar	A mass wasting flow during which snow rapidly flows down a sloping surface.
ENVO:01000692	landslide process	ENVO:01000690	mass wasting	landslip	environmental_hazards	A landslide is a process whereby a large mass of earth and rocks moves down a hill or a mountainside.
ENVO:01000693	rockfall	ENVO:01000690	mass wasting		environmental_hazards	
ENVO:01000694	geological subsidence	ENVO:03000010	material transport process	subsidence	environmental_hazards	A material transport process during which a geological surface shifts downward relative to a datum such as sea-level.
ENVO:01000695	mudslide	ENVO:01000690	mass wasting		environmental_hazards	
ENVO:01000696	mass wasting flow	ENVO:01000690	mass wasting	flow	environmental_hazards|envoPolar	A mass wasting flow is a form of mass wasting during which the moving materials behave similarly to a flowing fluid. Water, air and ice are often involved in enabling fluidlike motion of the material.
ENVO:01000697	mudflow	ENVO:01000696	mass wasting flow	mud flow	environmental_hazards	A mudflow is a form of mass wasting which involves very rapid to extremely rapid surging flow of debris that has become partially or fully liquified by the addition of significant amounts of water to clay-rich source material.
ENVO:01000698	debris flow	ENVO:01000696	mass wasting flow		environmental_hazards	A mass wasting flow during which water-laden masses of soil and fragmented rock rush down the slopes of elevations, funnel into stream channels, entrain objects in their paths, and form thick, muddy deposits on valley floors.
ENVO:01000699	lahar	ENVO:01000697	mudflow		environmental_hazards	A lahar is a type of mudflow or debris flow composed of a slurry of pyroclastic material, rocky debris, and water. The material flows down from a volcano, typically along a river valley.
ENVO:01000700	sturzstrom	ENVO:01000692	landslide process			A sturzstrom is a landslide consisting which has a great amount of kinetic energy resulting in greater horizontal movement when compared to its initial vertical drop — as much as 20 or 30 times the vertical distance. By contrast a normal landslide will typically travel a horizontal distance that is less than twice the distance that the material has fallen.
ENVO:01000702	ash fall process	ENVO:01000875	precipitation process		environmental_hazards	An ash fall process is a process in which volcanic ash formed during an explosive volcanic eruption, phreatomagmatic eruption, or during material transport in pyroclastic density currents is pulled towards the planetary surface by gravity.
ENVO:01000703	hydrological precipitation process	ENVO:01000875	precipitation process	precipitation		Hydrological precipitation is a process during which any product of the condensation of atmospheric water vapour is pulled to the planetary surface by gravity.
ENVO:01000704	hydrological evaporation	ENVO:02500031|ENVO:02500034	evaporation|hydrological process			Hydrological evaporation is the evaporation of water, generally as part of a planetary water cycle.
ENVO:01000705	soil degradation	ENVO:02500005	land degradation			Soil degradation is a process which results in a change in soil health status resulting in a diminished capacity of the ecosystem in which the soil occurs to provide goods and services for its  beneficiaries.
ENVO:01000706	soil erosion	ENVO:02500028	planetary erosion		envoPolar	Soil erosion is a process in which exogenic processes remove soil from one location on the Earth's crust and transport it to another location where it is deposited.
ENVO:01000707	coastal flooding	ENVO:02500002	flooding		environmental_hazards	Coastal flooding is a process in which normally dry, low-lying land near a coast is flooded by sea water.
ENVO:01000708	riverine flooding	ENVO:02500002	flooding		environmental_hazards	Riverine flooding is a process in which the flow rate of river water exceeds the capacity of its channel, thus flooding neighbouring land. Bends and meanders in a river channel are particularly disposed to such flooding.
ENVO:01000709	flash flooding	ENVO:02500002	flooding		environmental_hazards	Flash flooding is a process in which low-lying land is inundated with water for a short period of time and are usually the result of precipitation or a breach in the container of a water body.
ENVO:01000715	meteotsunami	ENVO:01000689	tsunami	rissaga	environmental_hazards	A meteotsunami is a tsunami caused by atmospheric processes and differences in air pressure.
ENVO:01000716	storm surge process	ENVO:01000707	coastal flooding		environmental_hazards	A storm surge process is a coastal flooding process which is caused by low pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides.
ENVO:01000717	areal flooding	ENVO:02500002	flooding		environmental_hazards	Areal flooding is a flooding process in which flat or low-lying areas become inundated with water due to water input exceeding infiltration, evaporation, or run off.
ENVO:01000718	urban flooding	ENVO:02500002	flooding		environmental_hazards	Urban flooding is a flooding process in which land or property in a built environment, particularly in more densely populated areas, is inundated due to the rate of water input exceeding that of water drainage provided by the environment's drainage systems.
ENVO:01000719	snowmelt	ENVO:01000720	hydrological melting process		envoPolar	Snowmelt is a hydrological melting process in which water is produced by the melting of snow and becomes part of the hydrological surface runoff.
ENVO:01000720	hydrological melting process	ENVO:01000723|ENVO:02500031	hydrological process|melting		envoPolar	A melting process during which water-based ice, snow, or other solid phase water transitions into a liquid phase.
ENVO:01000721	icemelt	ENVO:01000720	hydrological melting process	ice melt	envoPolar	Icemelt is a hydrological melthing process in which water is produced by the melting of ice and becomes part of the hydrological surface runoff.
ENVO:01000723	melting	ENVO:03000043	material transformation process	fusion|melting process	envoPolar	Melting is a material transformation process which results in the phase transition of a substance from a solid to a liquid.
ENVO:01000724	condensation process	ENVO:01001510	material congelation process			Condensation is a process during which a gas undergoes a phase transition into a liquid.
ENVO:01000725	chemical precipitation process	ENVO:01000875	precipitation process			Chemical precipitation is a process in which a portion of some solid substance segregates from a material in which that substance or its precursors were dissolved in and settles due to a force such as gravity or centrifugal force. Segregation may occur due to the solubility limits of the precipitating substance being exceeded or due to a chemical reaction that forms a solid product from aqueous reagents.
ENVO:01000726	desublimation process	ENVO:01001510	material congelation process	deposition		Desublimation is a process in which a portion of some gas undergoes a phase transition into a portion of some solid.
ENVO:01000727	sublimation process	ENVO:03000043	material transformation process			Sublimation is a process during which a portion of some solid undergoes a phase transition into a portion of some gas.
