ontology ID	label	parent class	definition	definition cross reference	comment	comment cross reference	editors note	exact synonym	related synonym	creation date	created by	Manufactoring product	has exposure material component		cross reference	primary constituent	produced_by
ID	AL rdfs:label@en	SC %	AL IAO:0000115@en	>AI oboInOwl:hasDbXref SPLIT=|	AL rdfs:comment@en	>AI oboInOwl:hasDbXref SPLIT=|	AL IAO:0000116@en	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	AT oboInOwl:creation_date^^xsd:dateTime	AI oboInOwl:created_by SPLIT=|	SC 'output of' some % SPLIT=|	SC 'has part' some % SPLIT=|		AI oboInOwl:hasDbXref SPLIT=|	SC 'composed primarily of' some % SPLIT=|	SC 'produced by' some % SPLIT=|
ENVO:03510055	rubber cement	ENVO:00003076	A glue which is composed of elastic polymers mixed in a solvent.		Solvents typically used include acetone, hexane, heptane or toluene.			cow gum		2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993	CHEBI:30879|CHEBI:28798			CHEBI:43098	
ENVO:03510056	wallpaper paste	ENVO:00003076	A glue which is 1) composed primarily of methyl cellulose and water, and 2) intended to fix wallpaper to walls.					wallpaper adhesive		2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993				CHEBI:53448|CHEBI:15377	
ENVO:03510057	permanent hair dye	ENVO:03510066	A chemical colorant which is 1) manufactured and 2) primarily composed of hydrogen peroxide and ammonia, and 3) when applied to hair, can alter the natural hair pigments for 6-8 weeks.						hair color	2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993				CHEBI:16134|CHEBI:16240	
ENVO:03510058	pharmaceutical ink	ENVO:03510065	A colorant fluid which is 1) manufactured, 2) composed of alcohol, titanium dioxide, and propylene glycol, and 3) intended for use as an ingestible ink for medicine pills.							2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993	CHEBI:16997|CHEBI:32234|CHEBI:30879				
ENVO:03510009										2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655		CHEBI:16526|CHEBI:17245|CHEBI:15377|CHEBI:51143|CHEBI:35230|CHEBI:35196|CHEBI:15368|CHEBI:16134|CHEBI:16716|CHEBI:39478|CHEBI:16842|CHEBI:30751|CHEBI:24632|CHEBI:18407|CHEBI:16136|CHEBI:16183|CHEBI:17790|CHEBI:48107|CHEBI:25567|CHEBI:33666|CHEBI:18422|CHEBI:17578|CHEBI:51084|CHEBI:5686|CHEBI:24632|CHEBI:24840|CHEBI:33585|CHEBI:33749				
ENVO:03510060	gel ink	ENVO:03510065	A colorant fluid which is 1) manufactured, 2) composed of copper phthalocyanine, iron oxides, water, and biopolymers and 3) intended for use in pens.							2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993	CHEBI:155903|CHEBI:50816|CHEBI:15377|CHEBI:18154				
ENVO:03510061	soy ink	ENVO:03510065	A colorant fluid which is 1) manufactured and 2) primarily composed of soybean oil, as well as pigment, resin, and wax.							2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993	ENVO:03510018|ENVO:01000575|CHEBI:26130			CHEBI:166975	
ENVO:03510062	aqueous inkjet printer ink	ENVO:03510065	A colorant fluid which is 1) manufactured, 2) primarily composed of water, as well as glycol, and dye, and 3) intended for use in inkjet printers.							2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993	CHEBI:13643|ENVO:03510010			CHEBI:15377	
ENVO:03510008										2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655		CHEBI:16526|CHEBI:17245|CHEBI:15377|CHEBI:51143|CHEBI:35230|CHEBI:35196|CHEBI:15368|CHEBI:16134|CHEBI:16716|CHEBI:39478|CHEBI:16842|CHEBI:30751|CHEBI:24632|CHEBI:18407|CHEBI:16136|CHEBI:16183|CHEBI:17790|CHEBI:48107|CHEBI:25567|CHEBI:33666|CHEBI:18422|CHEBI:17578|CHEBI:51084|CHEBI:5686|CHEBI:24632|CHEBI:24840|CHEBI:33585|CHEBI:33749|CHEBI:33415|CHEBI:26836|CHEBI:24873|CHEBI:37133|CHEBI:27364				
ENVO:03510064	emissions from petroleum combustion	ENVO:00010483	A material entity which is composed primarily of gases and particles produced by the combustion of petroleum fuels.							2021-02-12T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655						ENVO:01000839
ENVO:03510065	colorant fluid	ENVO:00003074	A manufactured product which 1) contains at least one colorant substance capable of absorbing light in the visible range dissolved or suspended in a solvent and 2) can imprint colorant upon materials.							2021-04-15T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993					
ENVO:03510066	chemical colorant	ENVO:00003074	A manufactured product which contains at least one chemical substance that when applied to a material, causes a chemical reaction resulting in the alteration of the material’s light absorption in the visible range.							2021-04-15T15:10:14.018Z	https://orcid.org/0000-0002-7463-6306|https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-3410-4655	ENVO:01000993					
