c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
IGSN:abyssal feature	abyssal feature	ENVO:00000190	abyssal feature			ENVO:00000104	undersea feature	medium		abyssal feature		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000244|ENVO:00000244	abyssal plain|abyssal plain
IGSN:alluvial fan	alluvial fan	ENVO:00000314	alluvial fan			ENVO:00000012	hydrographic feature	medium		alluvial fan		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000101|ENVO:00000101	delta|delta
IGSN:aquifer	aquifer	ENVO:00012408	aquifer			ENVO:01001275	solid layer	high		aquifer		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:badlands	badlands	ENVO:00000127	badland			ENVO:00000191	solid astronomical body part	high		badlands		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
IGSN:basin	basin	ENVO:00000291	drainage basin			ENVO:00000309	depression	low		basin		[info(label,exact,downcase)]	[info(label,exact,downcase)]	IGSN:drainage basin	drainage basin			IGSN:drainage basin|IGSN:drainage basin|IGSN:drainage basin	drainage basin|drainage basin|drainage basin	ENVO:00000104|ENVO:00000104|ENVO:00000151|ENVO:00000151|ENVO:00000165|ENVO:00000165|ENVO:00000195|ENVO:00000195|ENVO:00000311|ENVO:00000311|ENVO:00002277|ENVO:00002277	undersea feature|undersea feature|sabkha|sabkha|asphalt lake|asphalt lake|sinkhole|sinkhole|kettle|kettle|back-arc basin|back-arc basin
IGSN:bay	bay	ENVO:00000032	bay			ENVO:00000137	coastal inlet	high		bay		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:beach	beach	ENVO:00000091	beach			ENVO:00000191|ENVO:00000304	solid astronomical body part|shore	high		beach		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
IGSN:canyon	canyon	ENVO:00000169	canyon			ENVO:00000100	valley	medium		canyon		[info(label,label,downcase)]	[info(label,label,downcase)]					IGSN:gap|IGSN:gap|IGSN:valley|IGSN:valley	gap|gap|valley|valley	ENVO:00000267|ENVO:00000267|ENVO:00000267	submarine canyon|submarine canyon|submarine canyon
IGSN:cave	cave	ENVO:00000067	cave			ENVO:00000191	solid astronomical body part	medium		cave		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000068|ENVO:00000068	tunnel|tunnel
IGSN:channel	channel	ENVO:03000117	channel			ENVO:00000191	solid astronomical body part	medium		channel		[info(label,label,downcase)]	[info(label,label,downcase)]							ENVO:00000016|ENVO:00000016|ENVO:00000394|ENVO:00000394	sea|sea|strait|strait
IGSN:cirque	cirque	ENVO:00000155	cirque			ENVO:00000248	glacial valley	high		cirque		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
IGSN:cliff	cliff	ENVO:00000087	cliff			ENVO:00002000	slope	medium		cliff		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000280|ENVO:00000280	escarpment|escarpment
IGSN:continental divide	continental divide	ENVO:00000293	continental divide			ENVO:00000292	watershed	high		continental divide		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:continental margin	continental margin	ENVO:01000298	continental margin			ENVO:00002000|ENVO:00000482	slope|sea floor	high		continental margin		[info(label,label,downcase)]	[info(label,label,downcase)]								
IGSN:crater	crater	ENVO:00000514	crater			ENVO:00000309	depression	medium		crater		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]							ENVO:00000096|ENVO:00000096|ENVO:00000246|ENVO:00000246	caldera|caldera|volcanic crater|volcanic crater
IGSN:delta	delta	ENVO:00000101	delta			ENVO:00000386	river mouth	medium		delta		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]					IGSN:alluvial fan|IGSN:alluvial fan	alluvial fan|alluvial fan		
IGSN:drainage basin	drainage basin	ENVO:00000291	drainage basin			ENVO:00000309	depression	low		drainage basin		[info(label,label,downcase)]	[info(label,label,downcase)]	IGSN:basin	basin			IGSN:basin	basin	ENVO:00000153|ENVO:00000153|ENVO:00000292|ENVO:00000292	headwater|headwater|watershed|watershed
