ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000027	spring	BFO:0000050 some ENVO:01001311|ENVO:01000813|ENVO:01001784	 some solid surface layer|astronomical body part|compound astronomical body part	SPRING|Spring|seep|spring		A point where groundwater or steam flows out of the ground, and is thus where the aquifer surface meets the ground surface or where there is a fissure.
ENVO:00000051	hot spring	ENVO:00000027	spring	hot spring|hotspring|spring|thermal feature|thermal spring	obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A spring that is produced by the emergence of geothermally-heated groundwater from the Earth's crust.
ENVO:00000144	obsolete aquatic habitat				obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A habitat that is in or on water.
ENVO:00000215	hydrothermal vent	ENVO:00000027	spring	HydrothermalVents	obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A fissure in the Earths's surface from which geothermally heated water issues.
ENVO:00000569	obsolete marine habitat				obo:subsets/envo-basic.obo#EnvO-Lite-GSC	A habitat that is in or on a sea or ocean containing high concentrations of dissolved salts and other total dissolved solids (typically >35 grams dissolved salts per litre).
ENVO:00001995	rock	ENVO:01000814	solid environmental material			A rock is a naturally occurring solid aggregate of one or more minerals or mineraloids.
ENVO:00001998	soil	BFO:0000050 some ENVO:01000820|BFO:0000051 some ENVO:00002982|BFO:0000051 some ENVO:01000016|BFO:0000051 some ENVO:01000017|BFO:0000051 some ENVO:01000155|BFO:0000051 some ENVO:01000256|ENVO:00010483	 some clay| some mineral material| some organic material| some pedosphere| some sand| some silt|environmental material	regolith	obo:subsets/envo-basic.obo#EnvO-Lite-GSC	Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms.
ENVO:00002001	waste water	ENVO:00002006|RO:0000087 some ENVO:01000665	 some waste role|liquid water		obo:subsets/envo-basic.obo#EnvO-Lite-GSC	Water that has been adversely affected in quality by anthropogenic influence.
ENVO:00002002	obsolete food product				obo:subsets/envo-basic.obo#EnvO-Lite-GSC	
ENVO:00002005	air	BFO:0000051 some ENVO:01000266|ENVO:01000797	 some water vapour|gaseous environmental material		obo:subsets/envo-basic.obo#EnvO-Lite-GSC|obo:subsets/envo-basic.obo#envoPolar	The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.
ENVO:00002006	liquid water	ENVO:01000815	liquid environmental material	water		An environmental material primarily composed of dihydrogen oxide in its liquid form.
