ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000428	biome			EcosytemType|major habitat type		A biome is an ecosystem which is undergoing climactic ecological succession.
ENVO:00000446	terrestrial biome	ENVO:00000428	biome	terrestrial realm		A biome which is  primarily or completely situated on a landmass.
ENVO:00000447	marine biome	ENVO:00002030	aquatic biome	marine realm	envoPolar	An aquatic biome which is determined by a marine water body.
ENVO:00000873	freshwater biome	ENVO:00002030	aquatic biome	freshwater realm	envoPolar	An aquatic biome which is determined by a body of freshwater.
ENVO:00000887	large river biome	ENVO:01000253	freshwater river biome		wwfBiome	A freshwater river biome which is determined by a large river.
ENVO:00000888	large river headwater biome	ENVO:01000253	freshwater river biome		wwfBiome	A freshwater river biome which is determined by the headwaters of a large river.
ENVO:00000889	large river delta biome	ENVO:01000253	freshwater river biome		wwfBiome	A freshwater river biome which is determined by the delta of a large river.
ENVO:00000890	small river biome	ENVO:01000253	freshwater river biome		wwfBiome	A freshwater river biome which is determined by a small river.
ENVO:00000891	large freshwater lake biome	ENVO:01000252	freshwater lake biome		wwfBiome	A freshwater biome which is determined by a large lake.
ENVO:00000892	small freshwater lake biome	ENVO:01000252	freshwater lake biome		wwfBiome	A freshwater lake biome which is determined by a small lake.
ENVO:00000893	xeric basin biome	ENVO:00000873	freshwater biome		wwfBiome	A biome which has little permanent surface water and a low relative abundance of springs.
ENVO:00002030	aquatic biome	ENVO:00000428	biome			A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water.
ENVO:01000004	concentration basin mediterranean sea biome	ENVO:01000047	mediterranean sea biome			The concentration basin mediterranean sea biome comprises expressions of the mediterranean sea biome that have higher salinity than bordering oceans due to evaporation. Water exchange consists of inflow of the fresher oceanic water in the upper layer and outflow of the saltier mediterranean water in the lower layer of the connecting channel.
ENVO:01000020	estuarine biome	ENVO:00000447	marine biome			Expressions of the estuarine biome occur at wide lower courses of a rivers where they flow into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt.
ENVO:01000022	marine salt marsh biome	ENVO:00000447	marine biome			The marine salt marsh biome comprises marshes that are transitional intertidals between land and salty or brackish marine water (e.g.: sloughs, bays, estuaries). It is dominated by halophytic (salt tolerant) herbaceous plants. The daily tidal surges bring in nutrients, which tend to settle in roots of the plants within the salt marsh. The natural chemical activity of salty (or brackish) water and the tendency of algae to bloom in the shallow unshaded water also allow for great biodiversity.
ENVO:01000023	marine pelagic biome	ENVO:00000447	marine biome		envoPolar	The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths.
ENVO:01000024	marine benthic biome	ENVO:00000447	marine biome		envoPolar	The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed.
ENVO:01000025	marine neritic benthic zone biome	ENVO:01000024	marine benthic biome		envoPolar	The marine neritic zone biome comprises sea floor from the high tide mark to a continental shelf break. This zone generally extends to 200 m below average sea level.
