ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000020	lake	BFO:0000050 some ENVO:01000819	 some hydrosphere	broad|catch basin|llyn|loch|lochan|lough|mere|mortlake|open water|pasteuer lake|tarn	obo:subsets/envo-basic.obo#envoPolar	A body of water or other liquid of considerable size contained in a depression on a landmass.
ENVO:00000022	river	ENVO:00000023|RO:0002150 some ENVO:01000652|RO:0002220 some ENVO:00000143	 some river bank| some river channel|stream	braided river|rio|rio		A stream which, through permanent or seasonal flow processes, moves from elevated land towards lower elevations through a definite channel and empties either into a sea, lake, or another river or ends on land as bed seepage and evapotranspiration exceed water supply.
ENVO:00000023	stream	ENVO:00000029|RO:0002150 some ENVO:01000650	 some stream channel|watercourse	Creek|beck|braided stream|brook|brook|burn (hydrographic)|creek|creek|creek|fork (hydrographic|lode|millstream|rivulet|stream bend|streamlet|streams|watercourse|watercourse		A watercourse which is linear and flows across the solid portion of a planetary surface.
ENVO:00000029	watercourse	ENVO:01000618|RO:0002150 some ENVO:00000395	 some channel of a watercourse|lotic water body	awawa|barranca|beck|branch|brook|course|culvert|draw|dredged channel|fork|gulch|gully|gut|gut|gutter|kill|lode|moat|narrows|narrows|narrows|narrows (hydrographic)|overflow channel|passage|passage|pup|race|ravine|reach|reach|reach|rill|rivulet|run|run|runnel|seachannel|seaway|spillway|spillway|stream|tideway|wash|water gap		A flowing body of water.
ENVO:00000063	water body	BFO:0000050 some ENVO:01000819|ENVO:01000685	 some hydrosphere|water mass	aquatic feature|bodies of water|body of water|body of water|hydrographic feature|waterbody		An accumulation of water of varying size.
ENVO:00000100	valley	ENVO:03000015|RO:0002354 some ENVO:02500028	 some planetary erosion|geographic basin	chasm|coulee|dale|glacial gorge|glacial trough|glen|glen|goe|gorge|gorge|graben|gulch|gully|gully|hollow|hollow|hollow|lavaka|median valley|median valley|moat|ravine|re-entrant|seachannel|shelf valley|strath|trench|vale|water gap		A depression which has been formed as a result of erosion by water or ice and which is low-lying, bordered by higher ground, and especially elongate.
ENVO:00000106	grassland area	ENVO:01001305|RO:0002131 some ENVO:01001206	 some grassland ecosystem|vegetated area	grazing area|herbaceous area		An area in which grasses (Graminae) are a significant component of the vegetation.
ENVO:00000109	woodland area	ENVO:01001305	vegetated area	brigalow|caatinga|chanaral|coniferous forest|copse|deciduous forest|equatorial forest|equatorial rain forest|garique|grove|grove|jungle|jungle|mallee scrub|monsoon forest|moor|mott|motte|mulga|mulga scrub|pine grove|rain forest|rain forest|reforested area|sagebrush|scrub|shrub|silva|stand|taiga|thicket|thorn forest|tropical rain forest|wood|wood|wood|wooded area		Land having a cover of trees, shrubs, or both.
ENVO:00000111	forested area	ENVO:00000109	woodland area	forest|wood		An area with a high density of trees. A small forest may be called a wood.
ENVO:00000134	permafrost	ENVO:00010483	environmental material		obo:subsets/envo-basic.obo#envoPolar	An environmental material which is 1) composed primarily of soil or rock and included ice or organic material and 2) at or below the freezing point of water for two or more years.
ENVO:00000141	bank	BFO:0000050 some ENVO:00000395|ENVO:00002000	 some channel of a watercourse|slope	mount|shore		The sloping margin of a watercourse, serving to confine it to its natural channel.
ENVO:00000142	stream bank	ENVO:00000141	bank	bank (hydrographic)		The sloping margin of a stream, serving to confine it to its natural channel.
ENVO:00000143	river bank	ENVO:00000142	stream bank	riverbank		The sloping margin of a river, serving to confine it to its natural channel.
