ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00002006	liquid water	ENVO:01000815	liquid environmental material	water		An environmental material primarily composed of dihydrogen oxide in its liquid form.
ENVO:00002007	sediment	ENVO:00010483	environmental material		obo:subsets/envo-basic.obo#EnvO-Lite-GSC|obo:subsets/envo-basic.obo#envoPolar	Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid.
ENVO:00002010	saline water	ENVO:00002006	liquid water	salt water		Water which contains a significant concentration of dissolved salts.
ENVO:00002011	fresh water	ENVO:00002006	liquid water	freshwater|sweet water	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoPolar	Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.
ENVO:00005791	sterile water	ENVO:00002006	liquid water			Sterile water is water which does not contain lliving organisms.
ENVO:00005801	rhizosphere	ENVO:01000408	environmental zone			The narrow region of soil that is directly influenced by root secretions and associated soil microorganisms.
ENVO:00010483	environmental material			portion of environmental material		A portion of environmental material is a fiat object part which forms the medium or part of the medium of an environmental system.
ENVO:01000155	organic material	ENVO:00010483	environmental material	biomass		Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.
ENVO:01000254	environmental system			environment		A system which has the disposition to environ one or more material entities.
ENVO:01000306	freshwater environment	ENVO:01000317	aquatic environment	Water (non-saline)|fresh water environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics|obo:subsets/envo-basic.obo#envoPolar	An aquatic environment which is determined by freshwater.
ENVO:01000307	saline water environment	ENVO:01000317	aquatic environment	Water (saline)	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics|obo:subsets/envo-basic.obo#envoPolar	An environmental system which has its properties and dynamics determined by saline water.
ENVO:01000317	aquatic environment	ENVO:01000254	environmental system			An environment whose dynamics are strongly influenced by water.
ENVO:01000408	environmental zone	BFO:0000050 some ENVO:01000254	 some environmental system	environmental area	obo:subsets/envo-basic.obo#envoPolar	A site which has its extent determined by the presence or influence of one or more components of an environmental system or the processes occurring therein.
ENVO:01000815	liquid environmental material	ENVO:02000140	fluid environmental material		obo:subsets/envo-basic.obo#envoPolar	An environmental material which is in a liquid state.
ENVO:01000999	rhizosphere environment	ENVO:01000254|RO:0002131 some ENVO:00005801|RO:0002131 some ENVO:01001001	 some plant-associated environment| some rhizosphere|environmental system	Plant rhizosphere	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	An environmental system determined by the presence of a plant rhizosphere.
ENVO:01001000	environmental system determined by an organism	ENVO:01000254	environmental system	host-associated environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	An environmental system which is determined by a living organism.
ENVO:01001001	plant-associated environment			Plant|Viridiplantae-associated environment|plant environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	An environmental system determined by a green plant.
ENVO:01001002	animal-associated environment			Animal|Metazoan-associated environment|animal environment	obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoMeo|obo:subsets/envo-basic.obo#envoOmics	An environmental system determined by an animal.
ENVO:01001028	sediment permeated by freshwater	ENVO:00002007|RO:0002219 some ENVO:00002011	sediment|surrounded by some fresh water		obo:subsets/envo-basic.obo#envoEmpo|obo:subsets/envo-basic.obo#envoOmics	Sediment which has its porespace filled by water which has very low levels of sodium chloride and/or other salts.
