ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000016	sea	BFO:0000050 some ENVO:01000819|ENVO:00001999|RO:0002473 some ENVO:00002149	 some hydrosphere| some sea water|marine water body	channel|closed sea|marginal sea|open sea|open sound|open water	http://purl.obolibrary.org/obo/ENVO_03605018|obo:subsets/envo-basic.obo#envoMarine|obo:subsets/envo-basic.obo#envoPolar	A large expanse of saline water usually connected with an ocean.
ENVO:00000063	water body	BFO:0000050 some ENVO:01000819|ENVO:01000685|RO:0002354 some ENVO:01001220	 some hydrosphere| some water accumulation process|water mass	aquatic feature|bodies of water|body of water|body of water|hydrographic feature|waterbody		An accumulation of water of varying size.
ENVO:00000191	solid astronomical body part	ENVO:01000813	astronomical body part	geological feature|landform|physiographic feature		A part of an astronomical body which is primarily composed of solid material.
ENVO:00000304	shore	BFO:0000050 some ENVO:01000687|ENVO:01001884|RO:0002220 some ENVO:00000063	 some coast| some water body|surface landform	beach face|coastal zone|foreshore|inshore|rivage|seashore|shoreface|strand	http://purl.obolibrary.org/obo/ENVO_03605023|http://purl.obolibrary.org/obo/ENVO_03605025	That part of the land in immediate contact with a body of water including the area between high and low water lines.
ENVO:00000309	depressed landform	BFO:0000051 some ENVO:00002000|ENVO:01001886	 some slope|landform	barrier basin|depression|depression|non tidal basin|pan|pan|pan (geologic)|pans|tidal basin		A landform sunken or depressed below the surrounding area.
ENVO:00000482	sea floor	ENVO:01001378|RO:0002220 some ENVO:00000016	 some sea|marine bed	Meeresboden|SeaFloor|fondale marino|fondo marino|ocean floor|ocean floor|sea bed|seabed|seafloor|海床|海底	http://purl.obolibrary.org/obo/ENVO_03605025|obo:subsets/envo-basic.obo#envoPlastics	A marine bed which lies below a sea.
ENVO:00000486	shoreline	BFO:0000050 some ENVO:00000304	 some shore	Küstenlinie|SHOR|Shoreline|coastline|linea costiera|línea costera|海岸線	http://purl.obolibrary.org/obo/ENVO_03605014|obo:subsets/envo-basic.obo#envoPlastics	A two-dimensional continuant fiat boundary which is located between a landmass and a water body.
ENVO:00000501	submerged bed	BFO:0000050 some ENVO:00000309|ENVO:01001311|RO:0002220 some ENVO:00000063	 some depressed landform| some water body|solid surface layer	BOTTOM	http://purl.obolibrary.org/obo/ENVO_03605023|http://purl.obolibrary.org/obo/ENVO_03605025	The portion of the ground surface which lies below water.
ENVO:00000533	landfill	ENVO:01001884	surface landform	Deponie|discarica|disposal site|garbage dump|rubbish dump|vertedero|垃圾掩埋場	http://purl.obolibrary.org/obo/ENVO_03605014|obo:subsets/envo-basic.obo#envoPlastics	A depression which contains objects and materials discarded by humans or their technologies.
ENVO:00001999	marine water body	BFO:0000050 some ENVO:01000819|ENVO:01000617	 some hydrosphere|lentic water body	body of marine water|marine waterbody		A lentic water body which is composed primarily of marine water.
ENVO:00002000	slope	BFO:0000050 some ENVO:01000799|ENVO:01001886	 some astronomical body|landform	flank|side	http://purl.obolibrary.org/obo/ENVO_03605014	A solid astronomical body part which is part of the planetary surface between the peak of an elevation or the bottom of a depression and relatively flat surrounding land.
