ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000003	mine tailing	ENVO:0010001	anthropogenic environmental material	tailing		Mine tailings are the materials left over after the process of separating the valuable fraction from the uneconomic fraction (gangue) of an ore.
ENVO:00000134	permafrost	ENVO:00010483	environmental material	Permafrost	envoPolar	Soil or rock and included ice or organic material at or below the freezing point of water (0 degrees Celsius or 32 degrees Fahrenheit) for two or more years.
ENVO:00000194	scree	ENVO:00010483	environmental material	TALUS|talus slope|talus slope		Broken rock that appears at the bottom of crags, mountain cliffs or valley shoulders.
ENVO:00000338	vomit material	ENVO:02000019	bodily fluid material			A bodily fluid material which is composed primarily of vomit, a bodily fluid consisting of the expulsed contents of the stomach of an organism disgorged through the mouth or nose.
ENVO:00000546	lake sediment	ENVO:00002007	sediment	SedimentLayer		Lake sediment is sediment which covers the bottom of a lake. Lake sediments are comprised mainly of clastic material (sediment of clay, silt, and sand sizes), organic debris, chemical precipitates, or combinations of these.
ENVO:00001995	rock	ENVO:01000814	solid environmental material			A rock is a naturally occurring solid aggregate of one or more minerals or mineraloids.
ENVO:00001998	soil	ENVO:00010483	environmental material	regolith		Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms.
ENVO:00002001	waste water	ENVO:00002186|ENVO:00002264	contaminated water|waste material			Water that has been adversely affected in quality by anthropogenic influence.
ENVO:00002003	fecal material	ENVO:02000022	excreta material	droppings|faeces material|feces material|frass|pellet		An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.
ENVO:00002005	air	ENVO:01000797	gaseous environmental material		envoPolar	The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.
ENVO:00002006	liquid water	ENVO:01000815	liquid environmental material	water		An environmental material primarily composed of dihydrogen oxide in its liquid form.
ENVO:00002007	sediment	ENVO:00010483	environmental material		envoPolar	Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid.
ENVO:00002008	dust	ENVO:01000060|ENVO:01000814	particulate matter|solid environmental material		envoPolar	Minute solid particles with diameters less than 500 micrometers. Occurs in and may be deposited from, the atmosphere.
ENVO:00002010	saline water	ENVO:00002006	liquid water	salt water		Water which contains a significant concentration of dissolved salts.
ENVO:00002011	fresh water	ENVO:00002006	liquid water	freshwater|sweet water	envoEmpo|envoPolar	Water which has a low concentration of dissolved solutes, particularly that of sodium chloride.
ENVO:00002012	hypersaline water	ENVO:00002010	saline water		envoPolar	Water which contains a highly increased concentration of dissolved salts, surpassing the average salinity of seawater.
ENVO:00002013	igneous rock	ENVO:00001995	rock			Rock formed from molten magma.
ENVO:00002014	plutonic rock	ENVO:00002013	igneous rock	intrusive rock		An igneous rock that results from the crystallization of a magma below the surface of the Earth.
ENVO:00002015	volcanic rock	ENVO:00001995	rock			An igneous rock that results from magma reaching the surface either as lava or fragmental ejecta.
ENVO:00002016	sedimentary rock	ENVO:00001995	rock			A rock formed by deposition of either clastic sediments, organic matter, or chemical precipitates (evaporites), followed by compaction of the particulate matter and cementation during diagenesis.
ENVO:00002017	metamorphic rock	ENVO:00001995	rock			A rock formed by subjecting any rock type (including previously-formed metamorphic rock) to different temperature and pressure conditions than those in which the original rock was formed. These temperatures and pressures are always higher than those at the Earth's surface and must be sufficiently high so as to change the original minerals into other mineral types or else into other forms of the same minerals (e.g. by recrystallisation).
ENVO:00002018	sewage	ENVO:00002001	waste water			Wastewater that is contaminated with feces or urine,
ENVO:00002019	brackish water	ENVO:00002010	saline water		envoPolar	Water which has a higher salinity than fresh water but a lower salinity than marine water.
ENVO:00002040	wood	ENVO:01000155|ENVO:01000814	organic material|solid environmental material			
ENVO:00002042	surface water	ENVO:00002006	liquid water			Water that is found on the surface of an astronomical object.
ENVO:00002044	sludge	ENVO:0010001	anthropogenic environmental material			The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.
ENVO:00002045	anaerobic sediment	ENVO:00002007	sediment	anoxic sediment	envoPolar	Sediment characterised by the absence of oxygen.
ENVO:00002046	activated sludge	ENVO:00002044	sludge			
ENVO:00002047	urine material	ENVO:02000022	excreta material			An excreta material which is composed primarily of urine, a liquid excreta containing water and waste products made by the kidneys, stored in the bladder, and leaves the body through the urethra.
ENVO:00002053	limestone	ENVO:00002016	sedimentary rock			A sedimentary rock composed largely of the mineral calcite.
ENVO:00002054	chalk	ENVO:00002053	limestone			A soft, white, porous limestone.
ENVO:00002055	sandstone	ENVO:01000271	clastic sedimentary rock			A sedimentary rock composed mainly of sand-size mineral or rock grains.
ENVO:00002056	shale	ENVO:01000271	clastic sedimentary rock			A fine-grained sedimentary rock whose original constituents were clays or muds. It is characterized by thin laminae breaking with an irregular curving fracture, often splintery and usually parallel to the often-indistinguishable bedding plane.
ENVO:00002057	raw primary sludge	ENVO:00002044	sludge			
ENVO:00002058	secondary sludge	ENVO:00002044	sludge			
ENVO:00002059	biosolids	ENVO:00002044	sludge			A treated form of sludge, sometimes used as a fertilizer in agriculture.
ENVO:00002060	oil sludge	ENVO:00002176	contaminated sludge			A solid or gel in motor oil caused by the oil gelling or solidifying, usually at temperatures lower than 100deg C.
ENVO:00002113	deep marine sediment	ENVO:03000033	marine sediment	deep marine sediments|pelagic sediment {alternative name}	envoPolar	Sediment that accumulates in the flat or very gently sloping areas of the deep ocean basin floor. The three main types of deep marine sediment, also known as pelagic sediment, are siliceous oozes, calcareous oozes, and red clays.
ENVO:00002114	chemically enriched sediment	ENVO:00002007	sediment			Sediment which has increased levels of one or more chemical compounds.
ENVO:00002115	petroleum enriched sediment	ENVO:00002202	organically enriched sediment			Organically enriched sediment which has increased levels of petroleum.
ENVO:00002116	contaminated soil	ENVO:00003082	enriched soil			A portion of contaminated soil is a portion of soil with elevated levels of some contaminant.
ENVO:00002117	creosote contaminated soil	ENVO:00002116	contaminated soil			Soil which has elevated concentrations of creosote.
ENVO:00002118	sea sand	ENVO:01000017	sand			
ENVO:00002122	arsenic-rich mud	ENVO:01000001	mud			Mud which has elevated concentrations of arsenic.
ENVO:00002127	stream sediment	ENVO:00002007	sediment			
ENVO:00002129	anaerobic sludge	ENVO:00002044	sludge			
ENVO:00002133	anaerobic mud	ENVO:01000001	mud	anoxic mud		Mud which has no or neglible concentrations of dissolved oxygen.
ENVO:00002134	anaerobic stream sediment	ENVO:00002045|ENVO:00002127	anaerobic sediment|stream sediment			
ENVO:00002135	treated wood	ENVO:00002040	wood			
ENVO:00002136	arsenate treated wood	ENVO:00002135	treated wood			
ENVO:00002138	beach sand	ENVO:01000017	sand			
ENVO:00002141	leachate	ENVO:00002006	liquid water			The liquid produced when water percolates through any permeable material. It can contain either dissolved or suspended material, or usually both.
ENVO:00002142	borax leachate	ENVO:00002141	leachate			
ENVO:00002145	chromate contaminated soil	ENVO:00003081	metal contaminated soil			Soil which has elevated concentrations of chromate.
ENVO:00002146	xylene contaminated soil	ENVO:00002116	contaminated soil			Soil which has elevated concentrations of xylene.
ENVO:00002147	coal mine lake sediment	ENVO:00000546	lake sediment			Coal mine lake sediment is lake sediment which covers the bottom of a coal mine lake.
ENVO:00002148	coarse beach sand	ENVO:00002138	beach sand			
ENVO:00002149	sea water	ENVO:00002010	saline water	ocean water|seawater		Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.
ENVO:00002150	coastal sea water	ENVO:00002149	sea water	coastal ocean water|coastal oceanic water|coastal seawater|coastal water	envoPolar	Coastal sea water is sea water that is adjacent to a coast.
ENVO:00002154	radioactive sediment	ENVO:00002114	chemically enriched sediment			
ENVO:00002155	high-level radioactive sediment	ENVO:00002154	radioactive sediment			
ENVO:00002158	ditch water	ENVO:00002011	fresh water			
ENVO:00002159	drilling bore water	ENVO:00002006	liquid water			
ENVO:00002160	estuarine mud	ENVO:01000001	mud			Mud which is part of an estuary.
ENVO:00002164	fossil material	ENVO:01000814	solid environmental material			A solid environmental material which is formed by the replacement of organic substances (including those in soils and sediments) with mineral material.
ENVO:00002170	compost	ENVO:0010003	agricultural environmental material			The aerobically decomposed remnants of organic materials.
ENVO:00002171	hay compost	ENVO:00002170	compost			
ENVO:00002176	contaminated sludge	ENVO:00002044	sludge			
ENVO:00002177	1,4-dioxane contaminated sludge	ENVO:00002176	contaminated sludge			
ENVO:00002179	intertidal sediment	ENVO:00002007	sediment			
ENVO:00002180	naphthalene enriched sediment	ENVO:00002202	organically enriched sediment			Organically enriched sediment which has increased levels of naphthalene.
ENVO:00002182	nitrobenzene enriched sediment	ENVO:00002202	organically enriched sediment			Organically enriched sediment which has increased levels of nitrobenzene.
ENVO:00002186	contaminated water	ENVO:00002006	liquid water	polluted water		
ENVO:00002191	animal litter	ENVO:00010483	environmental material			Straw or other material strewn in an animal's enclosure (e.g. a stable) for it to sleep on and to absorb its faeces and urine.
ENVO:00002192	poultry litter	ENVO:00002191	animal litter			
ENVO:00002193	pulp-bleaching waste water	ENVO:00002001	waste water			
ENVO:00002194	oil field production water	ENVO:00002006	liquid water			
ENVO:00002200	sea ice	ENVO:01001557	water-body-derived ice		envoPolar	Water ice which has formed by the freezing of sea water.
ENVO:00002201	cis-dichloroethane contaminated sediment	ENVO:00002202	organically enriched sediment			Organically enriched sediment which has increased levels of cis-dichloroethane.
ENVO:00002202	organically enriched sediment	ENVO:00002114	chemically enriched sediment			Chemically-enriched sediment which has increased levels of organic compounds.
ENVO:00002203	inorganically enriched sediment	ENVO:00002114	chemically enriched sediment			Chemically-enriched sediment which has increased levels of inorganic compounds.
ENVO:00002206	coal mine waste material	ENVO:00002267	industrial waste material	coal mine waste|coal refuse		
ENVO:00002207	self-heating coal mine waste material	ENVO:00002206	coal mine waste material	self-heating coal mine waste		
ENVO:00002209	saline lake sediment	ENVO:00000546	lake sediment	soda lake sediment		Saline lake sediment is sediment which covers the bottom of a saline lake.
ENVO:00002212	thermophilic granular sludge	ENVO:00002044	sludge			
ENVO:00002223	oligotrophic water	ENVO:00002006	liquid water			Water with a very low nutrient level.
ENVO:00002224	eutrophic water	ENVO:00002006	liquid water			Water with a high nutrient level.
ENVO:00002225	mesotrophic water	ENVO:00002006	liquid water			Water with a nutrient level intermediate between eutrophic and oligotrophic.
ENVO:00002228	pond water	ENVO:00002011	fresh water			
ENVO:00002229	arenosol	ENVO:00001998	soil	psamment|sandy soil		Arenosols are sandy soils, including both soils developed in residual sands after in situ weathering of usually quartz-rich sediments or rock, and soils developed in recently deposited sands such as dunes in deserts and beach lands.
ENVO:00002230	anthrosol	ENVO:00001998|ENVO:0010001	anthropogenic environmental material|soil			Anthrosols comprise soils that have been modified profoundly through human activities, such as addition of organic materials or household wastes, irrigation and cultivation.
ENVO:00002231	alisol	ENVO:00001998	soil			Alisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Alisols have a low base saturation at certain depths and high-activity clays throughout the argic horizon. They lack the albeluvic tonguing as in Albeluvisols. They occur predominantly in humid tropical, humid subtropical and warm temperate regions.
ENVO:00002232	andosol	ENVO:00001998	soil			Andosols are soils that develop in volcanic ejecta or glasses under almost any climate (except under hyperarid climate conditions). However, Andosols may also develop in other silicate-rich materials under acid weathering in humid and perhumid climates.
ENVO:00002233	albeluvisol	ENVO:00001998	soil			Albeluvisols are soils that have, beginning within 1 m of the soil surface, a clay illuviation horizon with an irregular or broken upper boundary resulting in tonguing of bleached soil material into the illuviation horizon.
ENVO:00002234	acrisol	ENVO:01001397	ultisol			Acrisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Acrisols have in certain depths a low base saturation and low-activity clays.
ENVO:00002235	cambisol	ENVO:00001998	soil			Cambisols combine soils with at least an incipient subsurface soil formation. Transformation of parent material is evident from structure formation and mostly brownish discoloration, increasing clay percentage, and/or carbonate removal.
ENVO:00002236	cryosol	ENVO:01001526	frozen soil	gelisol	envoPolar	Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes.
ENVO:00002237	chernozem	ENVO:00001998	soil	black earth|boroll		Chernozems are soils with a thick black surface layer that is rich in organic matter.
