CMIXO ID	LABEL	Class Type	Parent	has exposure material component	Additional info	See Also	Text Definition	exact synonyms	related synonym	ORCID	subclasses
ID	LABEL	CLASS_TYPE	C % SPLIT=|	C  'has part' some % SPLIT=|	A rdfs:comment	AI rdfs:seeAlso	A obo:IAO_0000115	A oboInOwl:exactSynonym SPLIT=|	A oboInOwl:relatedSynonym	AI dc:creator	SC % SPLIT=|
ENVO:03510055	rubber cement	subclass	ENVO:00010483	CHEBI:28798|CHEBI:30879	Solvents typically used include acetone, hexane, heptane or toluene. 	https://en.wikipedia.org/w/index.php?title=Rubber_cement&oldid=975194720	A drying adhesive made from elastic polymers mixed in a solvent.	cow gum		https://orcid.org/0000-0002-7463-6306	
ENVO:03510056	wallpaper paste	subclass	ENVO:00010483	CHEBI:53448|CHEBI:15377		https://en.wikipedia.org/wiki/Wallpaper_paste	An adhesive used to fix wallpaper to walls	wallpaper adhesive		https://orcid.org/0000-0002-7463-6306	
ENVO:03510057	hair dye	subclass	ENVO:00010483	CHEBI:16134|CHEBI:16240		https://en.wikipedia.org/wiki/Hair_coloring	A coloring agent used to temporarily or permanently alter hair color.	hair color		https://orcid.org/0000-0002-7463-6306	
ENVO:03510058	pharmaceutical ink	subclass	ENVO:00010483	CHEBI:16997|CHEBI:32234|CHEBI:30879		https://en.wikipedia.org/wiki/Pharmaceutical_ink	An ingestible form of water based ink used to print on pill medications.			https://orcid.org/0000-0002-7463-6306	
ENVO:03510011	gasoline exhaust	subclass	ENVO:00010483	CHEBI:16526|CHEBI:17245|CHEBI:15377|CHEBI:51143|CHEBI:35230|CHEBI:35196|CHEBI:15368|CHEBI:16134|CHEBI:16716|CHEBI:39478|CHEBI:16842|CHEBI:30751|CHEBI:24632|CHEBI:18407|CHEBI:16136|CHEBI:16183|CHEBI:17790|CHEBI:48107|CHEBI:25567|CHEBI:33666|CHEBI:18422|CHEBI:17578|CHEBI:51084|CHEBI:5686|CHEBI:24632|CHEBI:24840|CHEBI:33585|CHEBI:33749						https://orcid.org/0000-0002-7463-6306	
ENVO:03510060	gel ink	subclass	ENVO:00010483	CHEBI:155903|CHEBI:50816|CHEBI:15377|CHEBI:18154		https://en.wikipedia.org/wiki/Gel_pen	A high viscosity, opaque ink used in gel pens.			https://orcid.org/0000-0002-7463-6306	
ENVO:03510061	soy ink	subclass	ENVO:00010483	CHEBI:166975|CHEBI:26130|ENVO:03510018|ENVO:01000575		https://en.wikipedia.org/wiki/Soy_ink	A slow drying ink made from refined soybean oil.			https://orcid.org/0000-0002-7463-6306	
ENVO:03510062	aqueous inkjet printer ink	subclass	ENVO:00010483	CHEBI:15377|CHEBI:13643|ENVO:03510010		https://en.wikipedia.org/wiki/Inkjet_printing	A coloring agent used to deposit color onto a substrate via inkjet printer.			https://orcid.org/0000-0002-7463-6306	
ENVO:03510010	diesel exhaust	subclass	ENVO:00010483	CHEBI:16526|CHEBI:17245|CHEBI:15377|CHEBI:51143|CHEBI:35230|CHEBI:35196|CHEBI:15368|CHEBI:16134|CHEBI:16716|CHEBI:39478|CHEBI:16842|CHEBI:30751|CHEBI:24632|CHEBI:18407|CHEBI:16136|CHEBI:16183|CHEBI:17790|CHEBI:48107|CHEBI:25567|CHEBI:33666|CHEBI:18422|CHEBI:17578|CHEBI:51084|CHEBI:5686|CHEBI:24632|CHEBI:24840|CHEBI:33585|CHEBI:33749|CHEBI:33415|CHEBI:26836|CHEBI:24873|CHEBI:37133|CHEBI:27364						https://orcid.org/0000-0002-7463-6306	
ENVO:03510064	emissions from gasoline combustion	subclass	ENVO:00010483				A mixture of gases and particles produced from the combusion of petroleum fuels in vehicles. 			https://orcid.org/0000-0002-7463-6307	ENVO:00010483|ENVO:03510010
